Id,Name,Type,Property,VectorableProperty
44,Cells_Granularity_2_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Granularity 2 Bodipy
45,Cytoplasm_Granularity_3_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Granularity 3 Bodipy
46,Cells_Mean_Largebodipyobjects_Granularity_3_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Granularity 3 Bodipy
47,Cells_Granularity_2_Mito,LipocyteProfiler_Feature,Mito,Cells Granularity 2 Mito
48,Cytoplasm_Granularity_2_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Granularity 2 Mito
49,Cells_Granularity_3_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Granularity 3 Bodipy
50,Cytoplasm_Granularity_4_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Granularity 4 Bodipy
51,Cells_Mean_Largebodipyobjects_Granularity_4_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Granularity 4 Bodipy
52,Cytoplasm_Granularity_3_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Granularity 3 Mito
53,Cells_Granularity_3_Mito,LipocyteProfiler_Feature,Mito,Cells Granularity 3 Mito
54,Cytoplasm_Granularity_5_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Granularity 5 Mito
55,Cytoplasm_Granularity_4_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Granularity 4 Mito
56,Cells_Granularity_4_Mito,LipocyteProfiler_Feature,Mito,Cells Granularity 4 Mito
57,Cells_Granularity_5_Mito,LipocyteProfiler_Feature,Mito,Cells Granularity 5 Mito
58,Cytoplasm_Intensity_Integratedintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Integratedintensity Bodipy
60,Cytoplasm_Intensity_Integratedintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Integratedintensity Agp
61,Cells_Intensity_Integratedintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Integratedintensity Bodipy
62,Cells_Intensity_Integratedintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Integratedintensity Agp
63,Cells_Intensity_Integratedintensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Integratedintensity Mito
64,Cytoplasm_Intensity_Integratedintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Integratedintensity Mito
66,Cells_Intensity_Integratedintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Integratedintensityedge Bodipy
67,Cytoplasm_Intensity_Integratedintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Integratedintensityedge Bodipy
69,Cytoplasm_Intensity_Integratedintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Integratedintensityedge Mito
70,Cells_Intensity_Integratedintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Integratedintensityedge Mito
71,Cells_Intensity_Meanintensityedge_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Meanintensityedge Agp
73,Cells_Intensity_Lowerquartileintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Lowerquartileintensity Agp
74,Cytoplasm_Intensity_Meanintensityedge_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Meanintensityedge Agp
75,Cytoplasm_Intensity_Lowerquartileintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Lowerquartileintensity Agp
76,Nuclei_Intensity_Maxintensity_Agp,LipocyteProfiler_Feature,AGP,Nuclei Intensity Maxintensity Agp
78,Cytoplasm_Intensity_Maxintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Maxintensity Agp
79,Cytoplasm_Intensity_Maxintensityedge_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Maxintensityedge Agp
80,Cells_Intensity_Stdintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Stdintensity Agp
81,Cytoplasm_Intensity_Stdintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Stdintensity Agp
82,Cells_Intensity_Maxintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Maxintensity Agp
83,Nuclei_Intensity_Maxintensityedge_Agp,LipocyteProfiler_Feature,AGP,Nuclei Intensity Maxintensityedge Agp
84,Nuclei_Intensity_Stdintensityedge_Agp,LipocyteProfiler_Feature,AGP,Nuclei Intensity Stdintensityedge Agp
85,Cytoplasm_Intensity_Stdintensityedge_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Stdintensityedge Agp
86,Cells_Intensity_Madintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Madintensity Agp
87,Cells_Intensity_Madintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Madintensity Bodipy
88,Cytoplasm_Intensity_Madintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Madintensity Bodipy
89,Cytoplasm_Intensity_Madintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Madintensity Mito
90,Nuclei_Intensity_Maxintensityedge_Mito,LipocyteProfiler_Feature,Mito,Nuclei Intensity Maxintensityedge Mito
91,Nuclei_Intensity_Stdintensity_Mito,LipocyteProfiler_Feature,Mito,Nuclei Intensity Stdintensity Mito
92,Cytoplasm_Intensity_Stdintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Stdintensityedge Mito
93,Cells_Intensity_Maxintensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Maxintensity Mito
94,Cells_Intensity_Maxintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Maxintensityedge Mito
95,Nuclei_Intensity_Maxintensity_Mito,LipocyteProfiler_Feature,Mito,Nuclei Intensity Maxintensity Mito
96,Nuclei_Intensity_Stdintensityedge_Mito,LipocyteProfiler_Feature,Mito,Nuclei Intensity Stdintensityedge Mito
97,Cells_Intensity_Stdintensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Stdintensity Mito
98,Cells_Intensity_Stdintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Stdintensityedge Mito
99,Cells_Intensity_Madintensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Madintensity Mito
100,Cytoplasm_Intensity_Maxintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Maxintensity Mito
101,Cytoplasm_Intensity_Maxintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Maxintensityedge Mito
102,Cytoplasm_Intensity_Stdintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Stdintensity Mito
103,Cells_Intensity_Massdisplacement_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Massdisplacement Bodipy
104,Cytoplasm_Intensity_Massdisplacement_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Massdisplacement Bodipy
105,Cells_Intensity_Massdisplacement_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Massdisplacement Mito
106,Cytoplasm_Intensity_Massdisplacement_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Massdisplacement Mito
107,Cytoplasm_Intensity_Maxintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Maxintensityedge Bodipy
108,Cytoplasm_Intensity_Maxintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Maxintensity Bodipy
109,Cells_Intensity_Maxintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Maxintensity Bodipy
110,Cells_Texture_Sumaverage_Agp_20_01,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 20 01
111,Cells_Intensity_Maxintensityedge_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Maxintensityedge Agp
112,Cells_Texture_Sumaverage_Agp_10_02,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 10 02
113,Cytoplasm_Intensity_Medianintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Medianintensity Agp
114,Cells_Intensity_Upperquartileintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Upperquartileintensity Agp
115,Cytoplasm_Texture_Sumaverage_Agp_5_01,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 5 01
116,Cells_Texture_Sumaverage_Agp_10_01,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 10 01
117,Cytoplasm_Texture_Sumaverage_Agp_20_02,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 20 02
118,Cells_Texture_Sumaverage_Agp_10_00,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 10 00
119,Cytoplasm_Intensity_Meanintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Meanintensity Agp
120,Cells_Texture_Sumaverage_Agp_10_03,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 10 03
121,Cells_Texture_Sumaverage_Agp_5_01,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 5 01
122,Cytoplasm_Texture_Sumaverage_Agp_5_00,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 5 00
123,Cells_Texture_Sumaverage_Agp_20_00,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 20 00
124,Cytoplasm_Texture_Sumaverage_Agp_20_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 20 03
125,Cytoplasm_Texture_Sumaverage_Agp_10_01,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 10 01
126,Cytoplasm_Texture_Sumaverage_Agp_20_01,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 20 01
127,Cells_Intensity_Meanintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Meanintensity Agp
128,Cytoplasm_Texture_Sumaverage_Agp_10_00,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 10 00
129,Cells_Texture_Sumaverage_Agp_20_03,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 20 03
130,Cytoplasm_Texture_Sumaverage_Agp_5_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 5 03
131,Cells_Texture_Sumaverage_Agp_5_02,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 5 02
132,Cytoplasm_Texture_Sumaverage_Agp_10_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 10 03
133,Cytoplasm_Intensity_Upperquartileintensity_Agp,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity Upperquartileintensity Agp
134,Cells_Intensity_Medianintensity_Agp,LipocyteProfiler_Feature,AGP,Cells Intensity Medianintensity Agp
135,Cells_Texture_Sumaverage_Agp_5_03,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 5 03
136,Cells_Texture_Sumaverage_Agp_5_00,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 5 00
137,Cytoplasm_Texture_Sumaverage_Agp_10_02,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 10 02
138,Cytoplasm_Texture_Sumaverage_Agp_5_02,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 5 02
139,Cytoplasm_Texture_Sumaverage_Agp_20_00,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Sumaverage Agp 20 00
140,Cells_Texture_Sumaverage_Agp_20_02,LipocyteProfiler_Feature,AGP,Cells Texture Sumaverage Agp 20 02
141,Cells_Intensity_Stdintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Stdintensityedge Bodipy
142,Cells_Intensity_Maxintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Maxintensityedge Bodipy
143,Cells_Intensity_Maxintensityedge_Dna,LipocyteProfiler_Feature,DNA,Cells Intensity Maxintensityedge Dna
144,Cells_Intensity_Stdintensityedge_Dna,LipocyteProfiler_Feature,DNA,Cells Intensity Stdintensityedge Dna
145,Cytoplasm_Intensity_Minintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Minintensityedge Mito
146,Cytoplasm_Intensity_Minintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Minintensity Mito
147,Cells_Intensity_Minintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Minintensityedge Mito
148,Cells_Intensity_Meanintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Meanintensityedge Mito
149,Cytoplasm_Intensity_Medianintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Medianintensity Mito
150,Cytoplasm_Intensity_Lowerquartileintensity_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Lowerquartileintensity Mito
151,Cytoplasm_Intensity_Meanintensityedge_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Intensity Meanintensityedge Mito
152,Cells_Intensity_Minintensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity Minintensity Mito
153,Cytoplasm_Intensity_Minintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Minintensity Bodipy
154,Cytoplasm_Intensity_Minintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Minintensityedge Bodipy
155,Cells_Intensity_Minintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Minintensity Bodipy
156,Cells_Intensity_Minintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Minintensityedge Bodipy
157,Cytoplasm_Intensity_Stdintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Stdintensity Bodipy
158,Cells_Intensity_Stdintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Stdintensity Bodipy
159,Nuclei_Intensity_Stdintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Stdintensityedge Bodipy
160,Cytoplasm_Intensity_Stdintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Intensity Stdintensityedge Bodipy
161,Nuclei_Intensity_Maxintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Maxintensityedge Bodipy
162,Nuclei_Intensity_Maxintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Maxintensity Bodipy
163,Cells_Intensity_Upperquartileintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Intensity Upperquartileintensity Bodipy
164,Nuclei_Intensity_Minintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Minintensityedge Bodipy
165,Nuclei_Intensity_Meanintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Meanintensityedge Bodipy
166,Nuclei_Intensity_Minintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Minintensity Bodipy
167,Nuclei_Intensity_Integratedintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Nuclei Intensity Integratedintensityedge Bodipy
168,Cells_Mean_Largebodipyobjects_Correlation_Overlap_Mito_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation Overlap Mito Bodipy
169,Cells_Mean_Largebodipyobjects_Areashape_Eccentricity,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Areashape Eccentricity
170,Cells_Mean_Largebodipyobjects_Correlation_Overlap_Agp_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation Overlap Agp Mito
171,Cells_Mean_Largebodipyobjects_Areashape_Formfactor,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Areashape Formfactor
172,Cells_Mean_Largebodipyobjects_Areashape_Extent,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Areashape Extent
173,Cells_Mean_Largebodipyobjects_Correlation_Overlap_Dna_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation Overlap Dna Bodipy
174,Cells_Mean_Largebodipyobjects_Correlation_Overlap_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation Overlap Agp Bodipy
175,Cells_Mean_Largebodipyobjects_Areashape_Solidity,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Areashape Solidity
176,Cells_Mean_Largebodipyobjects_Granularity_1_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Granularity 1 Bodipy
177,Cells_Mean_Largebodipyobjects_Correlation_Overlap_Dna_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation Overlap Dna Mito
178,Cells_Mean_Largebodipyobjects_Correlation_Correlation_Agp_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation Correlation Agp Bodipy
179,Cells_Mean_Largebodipyobjects_Correlation_K_Agp_Dna,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation K Agp Dna
180,Cells_Mean_Largebodipyobjects_Correlation_K_Agp_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation K Agp Mito
181,Cells_Mean_Largebodipyobjects_Correlation_K_Dna_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation K Dna Mito
182,Cells_Mean_Largebodipyobjects_Correlation_K_Bodipy_Dna,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation K Bodipy Dna
183,Cells_Mean_Largebodipyobjects_Correlation_K_Dna_Agp,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation K Dna Agp
184,Cells_Mean_Largebodipyobjects_Correlation_K_Dna_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Correlation K Dna Bodipy
185,Cytoplasm_Granularity_2_Bodipy,LipocyteProfiler_Feature,Lipid,Cytoplasm Granularity 2 Bodipy
186,Cells_Mean_Largebodipyobjects_Intensity_Stdintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Stdintensity Bodipy
187,Cells_Mean_Largebodipyobjects_Intensity_Maxintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Maxintensity Bodipy
188,Cells_Mean_Largebodipyobjects_Granularity_2_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Granularity 2 Bodipy
189,Cells_Mean_Largebodipyobjects_Intensity_Madintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Madintensity Bodipy
190,Cells_Mean_Largebodipyobjects_Intensity_Medianintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Medianintensity Bodipy
191,Cells_Mean_Largebodipyobjects_Intensity_Maxintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Maxintensityedge Bodipy
192,Cells_Mean_Largebodipyobjects_Intensity_Meanintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Meanintensity Bodipy
193,Cells_Mean_Largebodipyobjects_Intensity_Massdisplacement_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Massdisplacement Bodipy
194,Cells_Mean_Largebodipyobjects_Intensity_Integratedintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Integratedintensity Bodipy
195,Cells_Mean_Largebodipyobjects_Intensity_Minintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Minintensityedge Bodipy
196,Cells_Mean_Largebodipyobjects_Intensity_Upperquartileintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Upperquartileintensity Bodipy
197,Cells_Mean_Largebodipyobjects_Intensity_Stdintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Stdintensityedge Bodipy
198,Cells_Mean_Largebodipyobjects_Intensity_Minintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Intensity Minintensity Bodipy
199,Cells_Mean_Largebodipyobjects_Number_Object_Number,LipocyteProfiler_Feature,Lipid,Cells Mean Largebodipyobjects Number Object Number
201,Cells_Mean_Smallbodipyobjects_Correlation_Correlation_Dna_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Correlation Correlation Dna Mito
202,Cells_Mean_Smallbodipyobjects_Correlation_K_Agp_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Correlation K Agp Mito
203,Cells_Mean_Smallbodipyobjects_Correlation_K_Dna_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Correlation K Dna Bodipy
204,Cells_Mean_Smallbodipyobjects_Correlation_K_Dna_Mito,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Correlation K Dna Mito
205,Cells_Mean_Smallbodipyobjects_Intensity_Stdintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Stdintensity Bodipy
206,Cells_Mean_Smallbodipyobjects_Intensity_Minintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Minintensity Bodipy
207,Cells_Mean_Smallbodipyobjects_Intensity_Meanintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Meanintensity Bodipy
208,Cells_Mean_Smallbodipyobjects_Intensity_Minintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Minintensityedge Bodipy
209,Cells_Mean_Smallbodipyobjects_Intensity_Maxintensityedge_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Maxintensityedge Bodipy
210,Cells_Mean_Smallbodipyobjects_Intensity_Madintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Madintensity Bodipy
211,Cells_Mean_Smallbodipyobjects_Intensity_Upperquartileintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Upperquartileintensity Bodipy
212,Cells_Mean_Smallbodipyobjects_Intensity_Lowerquartileintensity_Bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean Smallbodipyobjects Intensity Lowerquartileintensity Bodipy
