FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase
82,80,GABA receptor positive allosteric modulator,MoA,Preclinical
84,85,metalloproteinase inhibitor,MoA,Phase 3
86,87,gonadotropin releasing factor hormone receptor antagonist,MoA,Phase 3
88,89,sphingosine kinase inhibitor,MoA,Phase 2
97,98,histamine receptor antagonist,MoA,Phase 1
99,98,histamine receptor antagonist,MoA,Phase 1
100,98,histamine receptor antagonist,MoA,Phase 1
101,102,platelet activating factor receptor antagonist,MoA,Phase 1
103,104,calcium channel blocker,MoA,Phase 2
105,104,calcium channel blocker,MoA,Phase 2
106,104,calcium channel blocker,MoA,Phase 2
107,108,adenosine kinase inhibitor,MoA,Preclinical
9,109,dopamine receptor agonist,MoA,Phase 2
110,111,BCL inhibitor,MoA,Phase 1/Phase 2
112,111,BCL inhibitor,MoA,Phase 1/Phase 2
113,111,BCL inhibitor,MoA,Phase 1/Phase 2
114,115,tubulin polymerization inhibitor,MoA,Phase 2
116,117,estrogen receptor agonist,MoA,Preclinical
118,119,retinoid receptor agonist,MoA,Preclinical
120,121,PAR agonist,MoA,Preclinical
122,123,PARP inhibitor,MoA,Preclinical
124,125,retinoid receptor agonist,MoA,Preclinical
118,125,retinoid receptor agonist,MoA,Preclinical
126,127,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical
128,127,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical
129,127,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical
130,127,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical
131,127,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical
132,133,urotensin receptor agonist,MoA,Preclinical
136,137,PI3K inhibitor,MoA,Phase 1
138,137,PI3K inhibitor,MoA,Phase 1
160,164,glutamate receptor antagonist,MoA,Preclinical
167,168,polarization inhibitor,MoA,Phase 3
202,203,lipoxygenase inhibitor,MoA,Phase 2
204,203,lipoxygenase inhibitor,MoA,Phase 2
217,218,cholesterol inhibitor,MoA,Phase 3
219,218,cholesterol inhibitor,MoA,Phase 3
228,229,gamma glutamyltransferase inhibitor,MoA,Phase 2
241,242,orexin receptor antagonist,MoA,Phase 1
243,242,orexin receptor antagonist,MoA,Phase 1
244,245,FGFR inhibitor|VEGFR inhibitor,MoA,Phase 1
246,245,FGFR inhibitor|VEGFR inhibitor,MoA,Phase 1
247,248,HDAC inhibitor,MoA,Phase 1/Phase 2
249,248,HDAC inhibitor,MoA,Phase 1/Phase 2
250,248,HDAC inhibitor,MoA,Phase 1/Phase 2
251,248,HDAC inhibitor,MoA,Phase 1/Phase 2
252,248,HDAC inhibitor,MoA,Phase 1/Phase 2
255,256,aldose reductase inhibitor,MoA,Phase 2
255,258,TGF beta receptor inhibitor,MoA,Phase 3
259,258,TGF beta receptor inhibitor,MoA,Phase 3
260,258,TGF beta receptor inhibitor,MoA,Phase 3
261,258,TGF beta receptor inhibitor,MoA,Phase 3
262,258,TGF beta receptor inhibitor,MoA,Phase 3
263,264,CC chemokine receptor antagonist,MoA,Phase 2
118,265,retinoid receptor agonist,MoA,Phase 1
222,265,retinoid receptor agonist,MoA,Phase 1
11,266,serotonin receptor agonist|serotonin receptor antagonist,MoA,Phase 2
14,266,serotonin receptor agonist|serotonin receptor antagonist,MoA,Phase 2
267,268,protein synthesis stimulant,MoA,Preclinical
269,268,protein synthesis stimulant,MoA,Preclinical
270,268,protein synthesis stimulant,MoA,Preclinical
271,268,protein synthesis stimulant,MoA,Preclinical
272,268,protein synthesis stimulant,MoA,Preclinical
273,268,protein synthesis stimulant,MoA,Preclinical
281,282,adenosine receptor agonist,MoA,Launched
283,282,adenosine receptor agonist,MoA,Launched
284,282,adenosine receptor agonist,MoA,Launched
285,282,adenosine receptor agonist,MoA,Launched
107,282,adenosine receptor agonist,MoA,Launched
286,282,adenosine receptor agonist,MoA,Launched
287,282,adenosine receptor agonist,MoA,Launched
288,282,adenosine receptor agonist,MoA,Launched
20,282,adenosine receptor agonist,MoA,Launched
22,282,adenosine receptor agonist,MoA,Launched
289,282,adenosine receptor agonist,MoA,Launched
290,282,adenosine receptor agonist,MoA,Launched
291,282,adenosine receptor agonist,MoA,Launched
292,282,adenosine receptor agonist,MoA,Launched
293,282,adenosine receptor agonist,MoA,Launched
280,282,adenosine receptor agonist,MoA,Launched
294,295,adenosine receptor agonist,MoA,Phase 2
296,295,adenosine receptor agonist,MoA,Phase 2
297,295,adenosine receptor agonist,MoA,Phase 2
298,295,adenosine receptor agonist,MoA,Phase 2
192,295,adenosine receptor agonist,MoA,Phase 2
299,295,adenosine receptor agonist,MoA,Phase 2
300,295,adenosine receptor agonist,MoA,Phase 2
301,295,adenosine receptor agonist,MoA,Phase 2
302,295,adenosine receptor agonist,MoA,Phase 2
281,295,adenosine receptor agonist,MoA,Phase 2
283,295,adenosine receptor agonist,MoA,Phase 2
284,295,adenosine receptor agonist,MoA,Phase 2
303,295,adenosine receptor agonist,MoA,Phase 2
304,295,adenosine receptor agonist,MoA,Phase 2
305,295,adenosine receptor agonist,MoA,Phase 2
285,295,adenosine receptor agonist,MoA,Phase 2
306,295,adenosine receptor agonist,MoA,Phase 2
307,295,adenosine receptor agonist,MoA,Phase 2
308,295,adenosine receptor agonist,MoA,Phase 2
49,295,adenosine receptor agonist,MoA,Phase 2
309,295,adenosine receptor agonist,MoA,Phase 2
310,295,adenosine receptor agonist,MoA,Phase 2
311,295,adenosine receptor agonist,MoA,Phase 2
312,295,adenosine receptor agonist,MoA,Phase 2
313,295,adenosine receptor agonist,MoA,Phase 2
314,295,adenosine receptor agonist,MoA,Phase 2
315,295,adenosine receptor agonist,MoA,Phase 2
316,295,adenosine receptor agonist,MoA,Phase 2
317,295,adenosine receptor agonist,MoA,Phase 2
318,295,adenosine receptor agonist,MoA,Phase 2
319,295,adenosine receptor agonist,MoA,Phase 2
320,295,adenosine receptor agonist,MoA,Phase 2
321,295,adenosine receptor agonist,MoA,Phase 2
322,295,adenosine receptor agonist,MoA,Phase 2
323,295,adenosine receptor agonist,MoA,Phase 2
324,295,adenosine receptor agonist,MoA,Phase 2
325,295,adenosine receptor agonist,MoA,Phase 2
290,295,adenosine receptor agonist,MoA,Phase 2
326,295,adenosine receptor agonist,MoA,Phase 2
327,295,adenosine receptor agonist,MoA,Phase 2
328,295,adenosine receptor agonist,MoA,Phase 2
329,295,adenosine receptor agonist,MoA,Phase 2
330,295,adenosine receptor agonist,MoA,Phase 2
280,295,adenosine receptor agonist,MoA,Phase 2
331,295,adenosine receptor agonist,MoA,Phase 2
334,335,solute carrier family member inhibitor,MoA,Preclinical
336,337,adiponectin receptor agonist,MoA,Preclinical
338,337,adiponectin receptor agonist,MoA,Preclinical
339,340,opioid receptor agonist,MoA,Phase 2
7,341,dopamine receptor antagonist|serotonin receptor agonist,MoA,Phase 2
11,341,dopamine receptor antagonist|serotonin receptor agonist,MoA,Phase 2
202,343,11-beta hydroxysteroid dehydrogenase inhibitor,MoA,Preclinical
204,343,11-beta hydroxysteroid dehydrogenase inhibitor,MoA,Preclinical
160,344,glutamate receptor negative allosteric modulator,MoA,Phase 2
160,345,glutamate receptor modulator,MoA,Preclinical
346,347,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2
348,347,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2
349,347,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2
350,347,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2
351,347,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2
244,347,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2
7,352,dopamine receptor agonist,MoA,Phase 3
354,355,estrogen receptor antagonist,MoA,Phase 2
116,355,estrogen receptor antagonist,MoA,Phase 2
356,355,estrogen receptor antagonist,MoA,Phase 2
357,355,estrogen receptor antagonist,MoA,Phase 2
358,355,estrogen receptor antagonist,MoA,Phase 2
359,355,estrogen receptor antagonist,MoA,Phase 2
360,355,estrogen receptor antagonist,MoA,Phase 2
361,355,estrogen receptor antagonist,MoA,Phase 2
362,363,sortilin inhibitor,MoA,Preclinical
364,365,insulin growth factor receptor inhibitor,MoA,Preclinical
366,367,PARP inhibitor,MoA,Preclinical
346,368,EGFR inhibitor|JAK inhibitor,MoA,Preclinical
369,368,EGFR inhibitor|JAK inhibitor,MoA,Preclinical
370,368,EGFR inhibitor|JAK inhibitor,MoA,Preclinical
371,372,tyrosine kinase inhibitor,MoA,Preclinical
373,374,isocitrate dehydrogenase inhibitor,MoA,Preclinical
375,376,isocitrate dehydrogenase inhibitor,MoA,Preclinical
377,378,cell cycle inhibitor,MoA,Phase 2
4,379,nitric oxide synthase inhibitor,MoA,Phase 3
380,379,nitric oxide synthase inhibitor,MoA,Phase 3
381,379,nitric oxide synthase inhibitor,MoA,Phase 3
332,379,nitric oxide synthase inhibitor,MoA,Phase 3
153,379,nitric oxide synthase inhibitor,MoA,Phase 3
194,379,nitric oxide synthase inhibitor,MoA,Phase 3
382,379,nitric oxide synthase inhibitor,MoA,Phase 3
382,383,imidazoline receptor ligand,MoA,Preclinical
224,384,retinoid receptor antagonist,MoA,Phase 3
225,384,retinoid receptor antagonist,MoA,Phase 3
226,384,retinoid receptor antagonist,MoA,Phase 3
124,385,retinoid receptor agonist,MoA,Phase 1/Phase 2
389,390,free fatty acid receptor antagonist,MoA,Preclinical
47,391,adrenergic receptor ligand,MoA,Preclinical
392,393,prostanoid receptor antagonist,MoA,Preclinical
394,393,prostanoid receptor antagonist,MoA,Preclinical
395,393,prostanoid receptor antagonist,MoA,Preclinical
396,393,prostanoid receptor antagonist,MoA,Preclinical
397,398,core binding factor inhibitor,MoA,Preclinical
330,399,tyrosine kinase inhibitor,MoA,Preclinical
7,400,dopamine receptor antagonist,MoA,Preclinical
8,400,dopamine receptor antagonist,MoA,Preclinical
9,400,dopamine receptor antagonist,MoA,Preclinical
401,402,SIRT inhibitor,MoA,Preclinical
403,404,lipoxygenase inhibitor,MoA,Phase 3
405,406,p38 MAPK inhibitor,MoA,Preclinical
227,409,apoptosis stimulant|STAT inhibitor,MoA,Preclinical
410,411,serotonin receptor antagonist,MoA,Phase 2
412,413,gonadotropin releasing factor hormone receptor antagonist,MoA,Launched
426,427,aldehyde dehydrogenase activator,MoA,Preclinical
232,428,topoisomerase inhibitor,MoA,Phase 3
437,438,phosphatidylglycerophosphatase inhibitor,MoA,Preclinical
452,453,Aurora kinase inhibitor,MoA,Phase 3
67,456,cytokine production inhibitor,MoA,Phase 2
53,456,cytokine production inhibitor,MoA,Phase 2
67,462,TRPV agonist,MoA,Preclinical
241,465,orexin receptor antagonist,MoA,Phase 3
243,465,orexin receptor antagonist,MoA,Phase 3
467,468,anticancer agent,MoA,Preclinical
77,471,serotonin receptor antagonist,MoA,Withdrawn
472,473,protease inhibitor,MoA,Phase 3
477,478,cytochrome P450 inhibitor|HMGCR inhibitor,MoA,Preclinical
479,480,omega 3 fatty acid stimulant,MoA,Phase 3
481,480,omega 3 fatty acid stimulant,MoA,Phase 3
482,480,omega 3 fatty acid stimulant,MoA,Phase 3
483,480,omega 3 fatty acid stimulant,MoA,Phase 3
389,480,omega 3 fatty acid stimulant,MoA,Phase 3
171,480,omega 3 fatty acid stimulant,MoA,Phase 3
484,480,omega 3 fatty acid stimulant,MoA,Phase 3
53,480,omega 3 fatty acid stimulant,MoA,Phase 3
100,485,histamine receptor agonist,MoA,Preclinical
100,486,histamine receptor agonist,MoA,Preclinical
13,487,serotonin receptor agonist,MoA,Preclinical
488,487,serotonin receptor agonist,MoA,Preclinical
489,487,serotonin receptor agonist,MoA,Preclinical
14,487,serotonin receptor agonist,MoA,Preclinical
15,487,serotonin receptor agonist,MoA,Preclinical
16,487,serotonin receptor agonist,MoA,Preclinical
490,487,serotonin receptor agonist,MoA,Preclinical
79,491,benzodiazepine receptor agonist,MoA,Withdrawn
255,500,aldose reductase inhibitor,MoA,Preclinical
14,501,serotonin receptor antagonist,MoA,Phase 2
61,502,nicotinic receptor agonist,MoA,Phase 2
503,502,nicotinic receptor agonist,MoA,Phase 2
244,504,MET inhibitor|VEGFR inhibitor,MoA,Phase 1
430,504,MET inhibitor|VEGFR inhibitor,MoA,Phase 1
246,504,MET inhibitor|VEGFR inhibitor,MoA,Phase 1
507,508,HSP inhibitor,MoA,Phase 2
512,513,CDK inhibitor,MoA,Phase 2
371,513,CDK inhibitor,MoA,Phase 2
90,513,CDK inhibitor,MoA,Phase 2
514,513,CDK inhibitor,MoA,Phase 2
92,513,CDK inhibitor,MoA,Phase 2
515,513,CDK inhibitor,MoA,Phase 2
516,513,CDK inhibitor,MoA,Phase 2
517,513,CDK inhibitor,MoA,Phase 2
346,513,CDK inhibitor,MoA,Phase 2
262,513,CDK inhibitor,MoA,Phase 2
461,518,glycine transporter inhibitor,MoA,Phase 1
519,520,cannabinoid receptor agonist,MoA,Preclinical
521,520,cannabinoid receptor agonist,MoA,Preclinical
403,522,lipoxygenase inhibitor,MoA,Phase 2
519,523,cannabinoid receptor antagonist,MoA,Preclinical
524,523,cannabinoid receptor antagonist,MoA,Preclinical
525,523,cannabinoid receptor antagonist,MoA,Preclinical
519,526,cannabinoid receptor antagonist,MoA,Preclinical
521,526,cannabinoid receptor antagonist,MoA,Preclinical
525,526,cannabinoid receptor antagonist,MoA,Preclinical
519,527,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical
521,527,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical
528,527,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical
53,527,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical
124,529,retinoid receptor agonist,MoA,Preclinical
519,530,cannabinoid receptor antagonist,MoA,Preclinical
521,530,cannabinoid receptor antagonist,MoA,Preclinical
153,531,potassium channel blocker,MoA,Preclinical
537,538,CC chemokine receptor antagonist,MoA,Preclinical
263,539,CC chemokine receptor antagonist,MoA,Phase 3
537,539,CC chemokine receptor antagonist,MoA,Phase 3
457,542,xanthine oxidase inhibitor,MoA,Phase 2
543,544,PERK inhibitor,MoA,Preclinical
430,545,tyrosine kinase inhibitor,MoA,Phase 1
546,547,MDM inhibitor,MoA,Phase 2
138,548,PI3K inhibitor,MoA,Phase 2
430,549,MET inhibitor,MoA,Phase 2
550,551,CC chemokine receptor antagonist,MoA,Phase 2
53,552,TRPV antagonist,MoA,Phase 1
553,554,MAP kinase inhibitor,MoA,Phase 1
555,554,MAP kinase inhibitor,MoA,Phase 1
556,554,MAP kinase inhibitor,MoA,Phase 1
405,554,MAP kinase inhibitor,MoA,Phase 1
483,557,free fatty acid receptor agonist,MoA,Phase 1
90,558,CDK inhibitor|FLT3 inhibitor,MoA,Phase 1
92,558,CDK inhibitor|FLT3 inhibitor,MoA,Phase 1
128,558,CDK inhibitor|FLT3 inhibitor,MoA,Phase 1
53,559,TRPV antagonist,MoA,Preclinical
138,560,PI3K inhibitor,MoA,Phase 2
430,561,MET inhibitor,MoA,Preclinical
452,562,Aurora kinase inhibitor,MoA,Phase 1
563,562,Aurora kinase inhibitor,MoA,Phase 1
564,562,Aurora kinase inhibitor,MoA,Phase 1
565,566,protein arginine N-methyltransferase inhibitor,MoA,Preclinical
567,568,adrenergic receptor agonist,MoA,Phase 3
569,570,monoamine oxidase inhibitor,MoA,Phase 1
571,570,monoamine oxidase inhibitor,MoA,Phase 1
571,589,dopamine receptor agonist,MoA,Withdrawn
410,589,dopamine receptor agonist,MoA,Withdrawn
255,597,nitric oxide synthase inhibitor,MoA,Phase 3
598,597,nitric oxide synthase inhibitor,MoA,Phase 3
599,597,nitric oxide synthase inhibitor,MoA,Phase 3
598,600,nitric oxide synthase inhibitor,MoA,Preclinical
605,606,dihydrofolate reductase inhibitor,MoA,Phase 3
607,606,dihydrofolate reductase inhibitor,MoA,Phase 3
512,608,CDK inhibitor|tyrosine kinase inhibitor,MoA,Preclinical
371,608,CDK inhibitor|tyrosine kinase inhibitor,MoA,Preclinical
514,608,CDK inhibitor|tyrosine kinase inhibitor,MoA,Preclinical
277,611,inosine monophosphate dehydrogenase inhibitor,MoA,Phase 2
612,611,inosine monophosphate dehydrogenase inhibitor,MoA,Phase 2
598,613,cyclin D inhibitor,MoA,Preclinical
571,619,serotonin transporter (SERT) inhibitor,MoA,Phase 3
620,619,serotonin transporter (SERT) inhibitor,MoA,Phase 3
410,619,serotonin transporter (SERT) inhibitor,MoA,Phase 3
289,650,Pim kinase inhibitor,MoA,Phase 1
651,652,glutamate receptor modulator,MoA,Preclinical
232,655,topoisomerase inhibitor,MoA,Phase 3
656,655,topoisomerase inhibitor,MoA,Phase 3
153,662,glutamate receptor agonist,MoA,Preclinical
663,664,glutamate receptor agonist,MoA,Preclinical
153,664,glutamate receptor agonist,MoA,Preclinical
665,666,glutamate receptor agonist,MoA,Phase 2
663,666,glutamate receptor agonist,MoA,Phase 2
667,666,glutamate receptor agonist,MoA,Phase 2
668,666,glutamate receptor agonist,MoA,Phase 2
99,675,histamine receptor agonist,MoA,Preclinical
129,677,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor,MoA,Phase 2
430,677,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAD51 inhibitor|RET tyrosine kinase inhibitor,MoA,Phase 2
678,679,caspase activator,MoA,Phase 2
680,681,cannabinoid receptor agonist|lipoxygenase inhibitor,MoA,Preclinical
519,681,cannabinoid receptor agonist|lipoxygenase inhibitor,MoA,Preclinical
521,681,cannabinoid receptor agonist|lipoxygenase inhibitor,MoA,Preclinical
632,682,tropomyosin receptor kinase inhibitor,MoA,Preclinical
683,684,cholesteryl ester transfer protein inhibitor,MoA,Phase 3
687,688,growth hormone secretagogue receptor agonist,MoA,Phase 3
103,689,cannabinoid receptor agonist,MoA,Phase 2
105,689,cannabinoid receptor agonist,MoA,Phase 2
106,689,cannabinoid receptor agonist,MoA,Phase 2
519,689,cannabinoid receptor agonist,MoA,Phase 2
521,689,cannabinoid receptor agonist,MoA,Phase 2
690,689,cannabinoid receptor agonist,MoA,Phase 2
524,689,cannabinoid receptor agonist,MoA,Phase 2
525,689,cannabinoid receptor agonist,MoA,Phase 2
691,689,cannabinoid receptor agonist,MoA,Phase 2
692,689,cannabinoid receptor agonist,MoA,Phase 2
693,689,cannabinoid receptor agonist,MoA,Phase 2
694,689,cannabinoid receptor agonist,MoA,Phase 2
53,689,cannabinoid receptor agonist,MoA,Phase 2
696,697,androgen receptor modulator,MoA,Phase 1
698,699,tumor necrosis factor production inhibitor,MoA,Phase 2
700,699,tumor necrosis factor production inhibitor,MoA,Phase 2
701,699,tumor necrosis factor production inhibitor,MoA,Phase 2
702,699,tumor necrosis factor production inhibitor,MoA,Phase 2
672,699,tumor necrosis factor production inhibitor,MoA,Phase 2
703,704,protein synthesis inhibitor,MoA,Phase 2
7,705,glutamate receptor agonist,MoA,Launched
665,705,glutamate receptor agonist,MoA,Launched
663,705,glutamate receptor agonist,MoA,Launched
667,705,glutamate receptor agonist,MoA,Launched
668,705,glutamate receptor agonist,MoA,Launched
14,705,glutamate receptor agonist,MoA,Launched
45,708,lipid peroxidase inhibitor,MoA,Phase 3
709,710,DNA synthesis inhibitor,MoA,Preclinical
711,710,DNA synthesis inhibitor,MoA,Preclinical
712,710,DNA synthesis inhibitor,MoA,Preclinical
713,710,DNA synthesis inhibitor,MoA,Preclinical
714,710,DNA synthesis inhibitor,MoA,Preclinical
715,710,DNA synthesis inhibitor,MoA,Preclinical
716,710,DNA synthesis inhibitor,MoA,Preclinical
717,710,DNA synthesis inhibitor,MoA,Preclinical
718,710,DNA synthesis inhibitor,MoA,Preclinical
719,710,DNA synthesis inhibitor,MoA,Preclinical
720,710,DNA synthesis inhibitor,MoA,Preclinical
721,710,DNA synthesis inhibitor,MoA,Preclinical
722,710,DNA synthesis inhibitor,MoA,Preclinical
244,723,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched
131,723,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,MoA,Launched
12,724,serotonin receptor agonist,MoA,Phase 1
275,725,adenosine receptor antagonist,MoA,Preclinical
726,727,neuropeptide receptor antagonist,MoA,Phase 1
728,729,corticotropin releasing factor receptor antagonist,MoA,Preclinical
731,732,CDC inhibitor,MoA,Preclinical
733,734,ATP synthase inhibitor,MoA,Preclinical
67,735,transient receptor potential channel antagonist,MoA,Preclinical
736,737,apolipoprotein expression enhancer,MoA,Phase 3
101,738,platelet activating factor receptor antagonist,MoA,Phase 3
739,740,RET tyrosine kinase inhibitor,MoA,Phase 3
244,740,RET tyrosine kinase inhibitor,MoA,Phase 3
129,740,RET tyrosine kinase inhibitor,MoA,Phase 3
741,740,RET tyrosine kinase inhibitor,MoA,Phase 3
696,742,androgen receptor antagonist|anti-inflammatory agent,MoA,Phase 1/Phase 2
129,743,KIT inhibitor,MoA,Preclinical
227,743,KIT inhibitor,MoA,Preclinical
744,745,glucose dependent insulinotropic receptor agonist,MoA,Phase 1
744,746,glucose dependent insulinotropic receptor agonist,MoA,Phase 1
633,747,sigma receptor antagonist,MoA,Phase 2
49,748,AKT inhibitor,MoA,Preclinical
749,748,AKT inhibitor,MoA,Preclinical
750,748,AKT inhibitor,MoA,Preclinical
255,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
696,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
92,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
752,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
596,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
753,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
754,751,casein kinase inhibitor|cell proliferation inhibitor,MoA,Preclinical
757,758,NADPH oxidase inhibitor,MoA,Phase 1
759,760,carboxylesterase inhibitor,MoA,Preclinical
176,760,carboxylesterase inhibitor,MoA,Preclinical
761,762,p53 activator,MoA,Phase 3
764,765,matrix metalloprotease inhibitor|tumor necrosis factor production inhibitor,MoA,Phase 2
766,765,matrix metalloprotease inhibitor|tumor necrosis factor production inhibitor,MoA,Phase 2
767,765,matrix metalloprotease inhibitor|tumor necrosis factor production inhibitor,MoA,Phase 2
84,765,matrix metalloprotease inhibitor|tumor necrosis factor production inhibitor,MoA,Phase 2
153,772,glutamate receptor antagonist,MoA,Phase 3
773,774,krüppel-like factor expression enhancer,MoA,Phase 1
775,776,serine/threonine kinase inhibitor,MoA,Preclinical
777,778,phosphoinositide dependent kinase inhibitor,MoA,Preclinical
779,778,phosphoinositide dependent kinase inhibitor,MoA,Preclinical
780,778,phosphoinositide dependent kinase inhibitor,MoA,Preclinical
309,783,ALK tyrosine kinase receptor inhibitor,MoA,Phase 2
346,783,ALK tyrosine kinase receptor inhibitor,MoA,Phase 2
74,784,acetylcholine receptor antagonist,MoA,Preclinical
32,785,glycogen synthase kinase inhibitor,MoA,Preclinical
786,787,monocarboxylate transporter inhibitor,MoA,Preclinical
788,787,monocarboxylate transporter inhibitor,MoA,Preclinical
789,790,phosphoinositide dependent kinase inhibitor,MoA,Phase 1
247,791,HDAC inhibitor,MoA,Phase 1
792,793,cytochrome P450 inhibitor,MoA,Phase 1
794,793,cytochrome P450 inhibitor,MoA,Phase 1
795,793,cytochrome P450 inhibitor,MoA,Phase 1
796,793,cytochrome P450 inhibitor,MoA,Phase 1
797,793,cytochrome P450 inhibitor,MoA,Phase 1
361,793,cytochrome P450 inhibitor,MoA,Phase 1
174,793,cytochrome P450 inhibitor,MoA,Phase 1
798,793,cytochrome P450 inhibitor,MoA,Phase 1
799,793,cytochrome P450 inhibitor,MoA,Phase 1
801,802,melanin inhibitor,MoA,Phase 2/Phase 3
1,803,adrenergic receptor antagonist,MoA,Preclinical
3,803,adrenergic receptor antagonist,MoA,Preclinical
4,803,adrenergic receptor antagonist,MoA,Preclinical
210,804,MEK inhibitor,MoA,Preclinical
805,804,MEK inhibitor,MoA,Preclinical
806,807,CDK inhibitor,MoA,Preclinical
90,807,CDK inhibitor,MoA,Preclinical
808,809,thrombin inhibitor,MoA,Withdrawn
74,810,acetylcholine receptor agonist,MoA,Preclinical
73,811,acetylcholine receptor agonist,MoA,Preclinical
74,811,acetylcholine receptor agonist,MoA,Preclinical
75,811,acetylcholine receptor agonist,MoA,Preclinical
76,811,acetylcholine receptor agonist,MoA,Preclinical
73,812,acetylcholine receptor agonist,MoA,Phase 1
74,812,acetylcholine receptor agonist,MoA,Phase 1
75,812,acetylcholine receptor agonist,MoA,Phase 1
76,812,acetylcholine receptor agonist,MoA,Phase 1
815,816,farnesyltransferase inhibitor,MoA,Launched
