FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication
134,135,Bruton's tyrosine kinase (BTK) inhibitor,MoA,Launched,hematologic malignancy,mantle cell lymphoma (MCL)
79,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
140,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
141,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
81,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
142,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
143,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
144,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
145,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
82,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
146,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
147,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
148,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
149,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
150,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
151,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
152,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
153,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
154,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
155,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
156,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
157,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
158,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
159,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
160,139,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol
161,162,glucosidase inhibitor,MoA,Launched,endocrinology,diabetes mellitus
163,162,glucosidase inhibitor,MoA,Launched,endocrinology,diabetes mellitus
165,166,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension|ventricular arrhythmias
73,169,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma
74,169,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma
75,169,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma
76,169,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma
170,169,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma
171,172,prostanoid receptor antagonist,MoA,Launched,rheumatology,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia
69,173,adenosine receptor agonist,MoA,Launched,pulmonary,asthma
174,175,cyclooxygenase inhibitor,MoA,Launched,rheumatology,osteoarthritis
171,175,cyclooxygenase inhibitor,MoA,Launched,rheumatology,osteoarthritis
180,181,vitamin K antagonist,MoA,Launched,hematology,deep vein thrombosis (DVT)
45,182,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
47,182,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
6,182,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
7,182,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
11,182,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
14,182,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative
183,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
185,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
186,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
187,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
188,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
189,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
190,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
191,184,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma
192,193,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus
194,193,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus
195,193,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus
196,193,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus
197,198,urease inhibitor,MoA,Launched,infectious disease,urinary tract infections
6,199,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,psychosis
7,199,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,psychosis
200,201,methyltransferase inhibitor,MoA,Launched,dermatology,acne vulgaris (AV)
205,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
73,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
74,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
75,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
76,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
170,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
207,206,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion
208,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
210,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
153,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
154,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
155,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
157,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
158,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
211,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
212,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
213,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
214,209,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury
215,216,5 alpha reductase inhibitor,MoA,Launched,dermatology,wound healing
217,220,cholesterol inhibitor,MoA,Launched,endocrinology,hyperlipidemia
124,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
118,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
222,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
223,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
224,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
225,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
226,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
227,221,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis
230,231,topoisomerase inhibitor,MoA,Launched,hematologic malignancy,acute myeloid leukemia (AML)
232,231,topoisomerase inhibitor,MoA,Launched,hematologic malignancy,acute myeloid leukemia (AML)
73,233,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
74,233,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
75,233,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
76,233,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
170,233,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD)
234,235,hypoxia inducible factor inhibitor,MoA,Launched,infectious disease,fungal infection
234,236,hypoxia inducible factor inhibitor,MoA,Launched,infectious disease,fungal infection
97,237,histamine receptor antagonist,MoA,Launched,allergy,allergic rhinitis
238,239,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH)
240,239,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH)
253,254,DNA polymerase inhibitor,MoA,Launched,infectious disease,genitial herpes|shingles|chicken pox
124,257,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV)
118,257,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV)
222,257,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV)
224,257,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV)
225,257,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV)
226,257,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV)
69,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
275,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
276,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
277,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
278,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
279,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
280,274,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW)
332,333,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,spasms
45,342,adrenergic receptor agonist,MoA,Launched,hematology,hemorrhage
346,353,EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
348,353,EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
349,353,EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
14,386,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression
15,386,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression
16,386,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression
387,386,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression
388,386,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression
407,408,angiotensin converting enzyme inhibitor,MoA,Launched,cardiology,hypertension
414,415,tubulin polymerization inhibitor,MoA,Launched,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
114,415,tubulin polymerization inhibitor,MoA,Launched,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
416,415,tubulin polymerization inhibitor,MoA,Launched,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis
417,418,adrenergic receptor agonist,MoA,Launched,pulmonary,asthma
97,419,histamine receptor antagonist,MoA,Launched,allergy,allergic conjunctivitis
174,420,cyclooxygenase inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis
421,422,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
423,422,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
424,422,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
73,425,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant
74,425,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant
75,425,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant
76,425,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant
43,425,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant
309,429,ALK tyrosine kinase receptor inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
430,429,ALK tyrosine kinase receptor inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC)
431,432,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis
433,432,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis
434,432,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis
435,432,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis
436,432,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis
439,440,vitamin D receptor agonist,MoA,Launched,endocrinology,vitamin D deficiency
441,440,vitamin D receptor agonist,MoA,Launched,endocrinology,vitamin D deficiency
45,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
47,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
48,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
55,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
443,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
444,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
445,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
446,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
447,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
167,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
448,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
449,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
450,442,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH)
97,451,histamine receptor agonist|histamine receptor antagonist,MoA,Launched,neurology/psychiatry|allergy|pulmonary,sedative|urticaria|itching|cough suppressant
454,455,renin inhibitor,MoA,Launched,cardiology,hypertension
457,458,xanthine oxidase inhibitor,MoA,Launched,rheumatology|urology,gout|kidney stones
354,459,steroidal progestin,MoA,Launched,obstetrics/gynecology,premature labor
460,459,steroidal progestin,MoA,Launched,obstetrics/gynecology,premature labor
461,459,steroidal progestin,MoA,Launched,obstetrics/gynecology,premature labor
463,464,neurotransmitter agonist,MoA,Launched,pulmonary,chronic obstructive pulmonary disease (COPD)
12,466,serotonin receptor agonist,MoA,Launched,neurology/psychiatry,migraine headache
13,466,serotonin receptor agonist,MoA,Launched,neurology/psychiatry,migraine headache
469,470,dipeptidyl peptidase inhibitor,MoA,Launched,endocrinology,diabetes mellitus
474,475,PI3K inhibitor,MoA,Launched,oncology,breast cancer
136,475,PI3K inhibitor,MoA,Launched,oncology,breast cancer
138,475,PI3K inhibitor,MoA,Launched,oncology,breast cancer
476,475,PI3K inhibitor,MoA,Launched,oncology,breast cancer
165,492,adrenergic receptor antagonist,MoA,Launched,cardiology,angina pectoris
417,492,adrenergic receptor antagonist,MoA,Launched,cardiology,angina pectoris
493,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
495,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
496,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
497,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
392,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
394,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
395,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
498,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
499,494,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects
460,505,progestogen hormone,MoA,Launched,endocrinology,estrus
11,506,muscle relaxant,MoA,Launched,gastroenterology,irritable bowel syndrome|diverticular disease
339,509,opioid receptor antagonist,MoA,Launched,gastroenterology,postoperative ileus
510,509,opioid receptor antagonist,MoA,Launched,gastroenterology,postoperative ileus
511,509,opioid receptor antagonist,MoA,Launched,gastroenterology,postoperative ileus
7,532,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
154,532,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
155,532,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
156,532,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
157,532,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
158,532,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease
205,533,cholinesterase inhibitor,MoA,Launched,neurology/psychiatry,myasthenia gravis
238,534,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH)
240,534,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH)
421,535,sodium channel blocker,MoA,Launched,pulmonary,bronchitis
423,536,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses
417,540,adrenergic receptor agonist,MoA,Launched,cardiology,hypotension
174,541,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry,pain relief
171,541,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry,pain relief
572,573,reducing agent,MoA,Launched,nephrology,renal toxicity
574,573,reducing agent,MoA,Launched,nephrology,renal toxicity
575,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
577,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
578,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
380,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
579,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
580,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
581,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
582,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
583,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
584,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
585,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
586,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
587,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
588,576,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure
590,591,plasminogen activator inhibitor,MoA,Launched,hematology,fibrinolytic bleeding
592,591,plasminogen activator inhibitor,MoA,Launched,hematology,fibrinolytic bleeding
593,591,plasminogen activator inhibitor,MoA,Launched,hematology,fibrinolytic bleeding
594,595,glucocorticoid receptor antagonist,MoA,Launched,endocrinology|oncology,Cushing's syndrome|breast cancer
596,595,glucocorticoid receptor antagonist,MoA,Launched,endocrinology|oncology,Cushing's syndrome|breast cancer
73,601,acetylcholine receptor antagonist,MoA,Launched,gastroenterology,acute abdominal visceral spasm|hypertrophic gastritis (GHG)|nausea
69,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
275,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
276,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
277,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
249,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
603,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
604,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
18,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
20,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
21,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
22,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
23,602,adenosine receptor antagonist,MoA,Launched,pulmonary,asthma|bronchitis|emphysema
403,609,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,inflammatory bowel disease|ulcerative colitis
210,609,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,inflammatory bowel disease|ulcerative colitis
610,609,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,inflammatory bowel disease|ulcerative colitis
174,609,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,inflammatory bowel disease|ulcerative colitis
171,609,cyclooxygenase inhibitor,MoA,Launched,gastroenterology,inflammatory bowel disease|ulcerative colitis
165,614,potassium channel blocker,MoA,Launched,cardiology,ventricular arrhythmias
105,614,potassium channel blocker,MoA,Launched,cardiology,ventricular arrhythmias
615,614,potassium channel blocker,MoA,Launched,cardiology,ventricular arrhythmias
616,614,potassium channel blocker,MoA,Launched,cardiology,ventricular arrhythmias
617,614,potassium channel blocker,MoA,Launched,cardiology,ventricular arrhythmias
7,618,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,psychosis|bipolar disorder|schizophrenia
45,621,adrenergic receptor agonist,MoA,Launched,infectious disease,generalized demodicosis
1,621,adrenergic receptor agonist,MoA,Launched,infectious disease,generalized demodicosis
45,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
47,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
48,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
1,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
165,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
417,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
567,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
73,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
74,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
75,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
76,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
170,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
97,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
99,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
623,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
11,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
12,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
13,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
14,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
16,622,norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI),MoA,Launched,neurology/psychiatry,depression
