Id,Name,Type,Property,VectorableProperty
56,Cells_Mean_SmallbodipyObjects_Granularity_6_bodipy,LipocyteProfiler_Feature,Lipid,Cells Mean SmallbodipyObjects Granularity 6 bodipy
58,Nuclei_Texture_Entropy_bodipy_5_02,LipocyteProfiler_Feature,Lipid,Nuclei Texture Entropy bodipy 5 02
59,Nuclei_Texture_InfoMeas1_Mito_10_03,LipocyteProfiler_Feature,Mito,Nuclei Texture InfoMeas1 Mito 10 03
60,Nuclei_Texture_InfoMeas2_Mito_5_01,LipocyteProfiler_Feature,Mito,Nuclei Texture InfoMeas2 Mito 5 01
61,Cells_Texture_Correlation_Mito_5_02,LipocyteProfiler_Feature,Mito,Cells Texture Correlation Mito 5 02
62,Cytoplasm_Texture_SumAverage_Mito_10_01,LipocyteProfiler_Feature,Mito,Cytoplasm Texture SumAverage Mito 10 01
63,Nuclei_Texture_AngularSecondMoment_Mito_20_02,LipocyteProfiler_Feature,Mito,Nuclei Texture AngularSecondMoment Mito 20 02
64,Cells_Texture_SumEntropy_Mito_20_01,LipocyteProfiler_Feature,Mito,Cells Texture SumEntropy Mito 20 01
66,Cells_Intensity_UpperQuartileIntensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity UpperQuartileIntensity Mito
67,Cytoplasm_Texture_InfoMeas2_Mito_10_03,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InfoMeas2 Mito 10 03
68,Nuclei_Texture_Contrast_Mito_5_00,LipocyteProfiler_Feature,Mito,Nuclei Texture Contrast Mito 5 00
69,Cytoplasm_Texture_InverseDifferenceMoment_Mito_5_01,LipocyteProfiler_Feature,Mito,Cytoplasm Texture InverseDifferenceMoment Mito 5 01
70,Nuclei_Texture_Contrast_Mito_10_03,LipocyteProfiler_Feature,Mito,Nuclei Texture Contrast Mito 10 03
72,Nuclei_Texture_AngularSecondMoment_Mito_10_02,LipocyteProfiler_Feature,Mito,Nuclei Texture AngularSecondMoment Mito 10 02
73,Cells_Texture_SumVariance_Mito_10_02,LipocyteProfiler_Feature,Mito,Cells Texture SumVariance Mito 10 02
74,Nuclei_Texture_SumEntropy_Mito_5_03,LipocyteProfiler_Feature,Mito,Nuclei Texture SumEntropy Mito 5 03
75,Cytoplasm_Correlation_Overlap_AGP_Mito,LipocyteProfiler_Feature,Mito,Cytoplasm Correlation Overlap AGP Mito
76,Cells_Texture_SumAverage_Mito_10_00,LipocyteProfiler_Feature,Mito,Cells Texture SumAverage Mito 10 00
77,Cells_Texture_DifferenceEntropy_Mito_10_01,LipocyteProfiler_Feature,Mito,Cells Texture DifferenceEntropy Mito 10 01
78,Cells_Intensity_MaxIntensity_Mito,LipocyteProfiler_Feature,Mito,Cells Intensity MaxIntensity Mito
79,Cells_Texture_SumAverage_Mito_20_01,LipocyteProfiler_Feature,Mito,Cells Texture SumAverage Mito 20 01
80,Nuclei_Texture_InfoMeas2_Mito_10_03,LipocyteProfiler_Feature,Mito,Nuclei Texture InfoMeas2 Mito 10 03
81,Nuclei_AreaShape_Eccentricity,LipocyteProfiler_Feature,Compartmental,Nuclei AreaShape Eccentricity
82,Cytoplasm_AreaShape_Extent,LipocyteProfiler_Feature,Compartmental,Cytoplasm AreaShape Extent
83,Nuclei_Number_Object_Number,LipocyteProfiler_Feature,Compartmental,Nuclei Number Object Number
84,Cells_AreaShape_MaxFeretDiameter,LipocyteProfiler_Feature,Compartmental,Cells AreaShape MaxFeretDiameter
85,Cells_AreaShape_Perimeter,LipocyteProfiler_Feature,Compartmental,Cells AreaShape Perimeter
86,Nuclei_AreaShape_MaximumRadius,LipocyteProfiler_Feature,Compartmental,Nuclei AreaShape MaximumRadius
87,Cytoplasm_AreaShape_MajorAxisLength,LipocyteProfiler_Feature,Compartmental,Cytoplasm AreaShape MajorAxisLength
88,Cytoplasm_AreaShape_MaximumRadius,LipocyteProfiler_Feature,Compartmental,Cytoplasm AreaShape MaximumRadius
89,Cells_Neighbors_NumberOfNeighbors_Adjacent,LipocyteProfiler_Feature,Compartmental,Cells Neighbors NumberOfNeighbors Adjacent
90,Nuclei_AreaShape_Compactness,LipocyteProfiler_Feature,Compartmental,Nuclei AreaShape Compactness
91,Cytoplasm_AreaShape_MaxFeretDiameter,LipocyteProfiler_Feature,Compartmental,Cytoplasm AreaShape MaxFeretDiameter
92,Cells_Neighbors_SecondClosestDistance_Adjacent,LipocyteProfiler_Feature,Compartmental,Cells Neighbors SecondClosestDistance Adjacent
93,Cells_Neighbors_PercentTouching_10,LipocyteProfiler_Feature,Compartmental,Cells Neighbors PercentTouching 10
94,Nuclei_AreaShape_Zernike_9_7,LipocyteProfiler_Feature,Compartmental,Nuclei AreaShape Zernike 9 7
96,Cytoplasm_Parent_Nuclei,LipocyteProfiler_Feature,Compartmental,Cytoplasm Parent Nuclei
97,Cells_AreaShape_MajorAxisLength,LipocyteProfiler_Feature,Compartmental,Cells AreaShape MajorAxisLength
98,Nuclei_AreaShape_MinFeretDiameter,LipocyteProfiler_Feature,Compartmental,Nuclei AreaShape MinFeretDiameter
99,Cells_Neighbors_PercentTouching_Adjacent,LipocyteProfiler_Feature,Compartmental,Cells Neighbors PercentTouching Adjacent
100,Cells_AreaShape_MeanRadius,LipocyteProfiler_Feature,Compartmental,Cells AreaShape MeanRadius
101,Cells_Neighbors_SecondClosestObjectNumber_Adjacent,LipocyteProfiler_Feature,Compartmental,Cells Neighbors SecondClosestObjectNumber Adjacent
102,Nuclei_Texture_SumEntropy_AGP_5_03,LipocyteProfiler_Feature,AGP,Nuclei Texture SumEntropy AGP 5 03
103,Cells_Texture_Correlation_AGP_10_03,LipocyteProfiler_Feature,AGP,Cells Texture Correlation AGP 10 03
104,Cells_RadialDistribution_RadialCV_AGP_3of4,LipocyteProfiler_Feature,AGP,Cells RadialDistribution RadialCV AGP 3of4
105,Nuclei_Granularity_6_AGP,LipocyteProfiler_Feature,AGP,Nuclei Granularity 6 AGP
106,Cells_Texture_DifferenceVariance_AGP_20_03,LipocyteProfiler_Feature,AGP,Cells Texture DifferenceVariance AGP 20 03
108,Cytoplasm_Texture_InverseDifferenceMoment_AGP_10_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture InverseDifferenceMoment AGP 10 03
109,Cytoplasm_Intensity_MinIntensity_AGP,LipocyteProfiler_Feature,AGP,Cytoplasm Intensity MinIntensity AGP
110,Cytoplasm_Texture_Variance_AGP_20_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Variance AGP 20 03
111,Cytoplasm_Texture_InfoMeas2_AGP_10_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture InfoMeas2 AGP 10 03
112,Cells_Texture_DifferenceEntropy_AGP_10_02,LipocyteProfiler_Feature,AGP,Cells Texture DifferenceEntropy AGP 10 02
114,Cells_Texture_InfoMeas2_AGP_10_02,LipocyteProfiler_Feature,AGP,Cells Texture InfoMeas2 AGP 10 02
116,Cytoplasm_Texture_Contrast_AGP_20_00,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Contrast AGP 20 00
117,Cytoplasm_Granularity_11_AGP,LipocyteProfiler_Feature,AGP,Cytoplasm Granularity 11 AGP
118,Nuclei_Texture_Entropy_AGP_20_01,LipocyteProfiler_Feature,AGP,Nuclei Texture Entropy AGP 20 01
119,Cells_Granularity_7_AGP,LipocyteProfiler_Feature,AGP,Cells Granularity 7 AGP
120,Cytoplasm_Texture_Correlation_AGP_10_03,LipocyteProfiler_Feature,AGP,Cytoplasm Texture Correlation AGP 10 03
121,Cells_Texture_SumAverage_AGP_20_03,LipocyteProfiler_Feature,AGP,Cells Texture SumAverage AGP 20 03
122,Nuclei_Texture_InfoMeas1_AGP_10_02,LipocyteProfiler_Feature,AGP,Nuclei Texture InfoMeas1 AGP 10 02
123,Cells_Granularity_1_AGP,LipocyteProfiler_Feature,AGP,Cells Granularity 1 AGP
124,Cytoplasm_Texture_SumAverage_AGP_10_01,LipocyteProfiler_Feature,AGP,Cytoplasm Texture SumAverage AGP 10 01
