Id,Name,Type,VectorableProperty
16175,Basal Cell Carcinoma,Phenotype,Basal Cell Carcinoma
16177,Protein Quantitative Trait Loci (Liver),Phenotype,Protein Quantitative Trait Loci (Liver)
16179,Cerebellin-4 Levels,Phenotype,Cerebellin-4 Levels
16181,Low Tan Response,Phenotype,Low Tan Response
16183,Fat-Free Mass,Phenotype,Fat-Free Mass
16188,Myocardial Infarction,Phenotype,Myocardial Infarction
16190,High Density Lipoprotein Cholesterol Levels,Phenotype,High Density Lipoprotein Cholesterol Levels
16192,Folate Pathway Vitamin Levels,Phenotype,Folate Pathway Vitamin Levels
16194,Inflammatory Bowel Disease,Phenotype,Inflammatory Bowel Disease
16197,Cholesteryl Esters To Total Lipids Ratio In Idl,Phenotype,Cholesteryl Esters To Total Lipids Ratio In Idl
16200,Age At First Sexual Intercourse,Phenotype,Age At First Sexual Intercourse
16203,Cholesteryl Ester Levels In Very Large Hdl,Phenotype,Cholesteryl Ester Levels In Very Large Hdl
16206,Melanoma,Phenotype,Melanoma
16208,Diastolic Blood Pressure (Mtag),Phenotype,Diastolic Blood Pressure (Mtag)
16210,Systolic Blood Pressure X Alcohol Consumption Interaction (2Df Test),Phenotype,Systolic Blood Pressure X Alcohol Consumption Interaction (2Df Test)
16212,Multiple Sclerosis,Phenotype,Multiple Sclerosis
16216,Dementia With Lewy Bodies In Apoe E4- Carriers,Phenotype,Dementia With Lewy Bodies In Apoe E4- Carriers
16218,Cigarette Consumption X Hours Spent Using Computers Interaction,Phenotype,Cigarette Consumption X Hours Spent Using Computers Interaction
16220,Calcium Levels,Phenotype,Calcium Levels
16222,Body Fat Percentage,Phenotype,Body Fat Percentage
16224,Phosphatidylcholine-O(36:1)_[M+H]1+/Phosphatidylethanolamine-O(39:1)_[M+H]1+/Phosphatidylcholine-P(36:0)_[M+H]1+ Levels,Phenotype,Phosphatidylcholine-O(36:1)_[M+H]1+/Phosphatidylethanolamine-O(39:1)_[M+H]1+/Phosphatidylcholine-P(36:0)_[M+H]1+ Levels
16226,Triglyceride Levels In Ldl,Phenotype,Triglyceride Levels In Ldl
16228,Psp94 Plasma Levels,Phenotype,Psp94 Plasma Levels
16230,Vaginal Microbiome Metacyc Pathway (Pwy-6562|Norspermidine Biosynthesis),Phenotype,Vaginal Microbiome Metacyc Pathway (Pwy-6562|Norspermidine Biosynthesis)
16232,Primary Biliary Cholangitis,Phenotype,Primary Biliary Cholangitis
16234,Waist Circumference Adjusted For Body Mass Index,Phenotype,Waist Circumference Adjusted For Body Mass Index
16236,Central Nucleus Volume,Phenotype,Central Nucleus Volume
16238,Dab2/Tbl1X Protein Level Ratio,Phenotype,Dab2/Tbl1X Protein Level Ratio
16241,Severe Covid-19 Infection,Phenotype,Severe Covid-19 Infection
16246,Plasma Omega-6 Polyunsaturated Fatty Acid Levels (Linoleic Acid),Phenotype,Plasma Omega-6 Polyunsaturated Fatty Acid Levels (Linoleic Acid)
16248,Ccl5/Ccn2 Protein Level Ratio,Phenotype,Ccl5/Ccn2 Protein Level Ratio
16250,Coronary Artery Disease (Mtag),Phenotype,Coronary Artery Disease (Mtag)
16252,Phospholipids To Total Lipids Ratio In Medium Hdl,Phenotype,Phospholipids To Total Lipids Ratio In Medium Hdl
16256,Vertex-Wise Cortical Thickness,Phenotype,Vertex-Wise Cortical Thickness
16259,Platelet Count During  First Trimester Of Pregnancy,Phenotype,Platelet Count During  First Trimester Of Pregnancy
16261,Hexanoylcarnitine Levels,Phenotype,Hexanoylcarnitine Levels
16263,Complement Factor H Levels,Phenotype,Complement Factor H Levels
16265,Phosphatidylcholine_37:4_[M+H]1+/Phosphatidylethanolamine_40:4_[M+H]1+/Phosphatidate_42:5_[M+Nh4]1+ Levels,Phenotype,Phosphatidylcholine_37:4_[M+H]1+/Phosphatidylethanolamine_40:4_[M+H]1+/Phosphatidate_42:5_[M+Nh4]1+ Levels
16269,Hdl Cholesterol,Phenotype,Hdl Cholesterol
16271,Systolic Blood Pressure X Smoking Status (Current Vs Non-Current) Interaction (2Df Test),Phenotype,Systolic Blood Pressure X Smoking Status (Current Vs Non-Current) Interaction (2Df Test)
16273,Insomnia,Phenotype,Insomnia
16276,Short Sleep Duration (<5 Hours),Phenotype,Short Sleep Duration (<5 Hours)
16279,Thyroid Stimulating Hormone Levels,Phenotype,Thyroid Stimulating Hormone Levels
16281,Serum Metabolite Levels,Phenotype,Serum Metabolite Levels
16283,Gamma Glutamyl Transferase Levels,Phenotype,Gamma Glutamyl Transferase Levels
16285,Lung Cancer (Snp X Snp Interaction),Phenotype,Lung Cancer (Snp X Snp Interaction)
16287,Heel Bone Mineral Density,Phenotype,Heel Bone Mineral Density
16290,Nickel Levels,Phenotype,Nickel Levels
16292,Predicted Visceral Adipose Tissue,Phenotype,Predicted Visceral Adipose Tissue
16295,Phospholipids To Total Lipids Ratio In Small Ldl,Phenotype,Phospholipids To Total Lipids Ratio In Small Ldl
16297,Triacylglycerol(52:4)_[M+Nh4]1+ Levels,Phenotype,Triacylglycerol(52:4)_[M+Nh4]1+ Levels
16301,Sulfatase-Modifying Factor 2 Levels,Phenotype,Sulfatase-Modifying Factor 2 Levels
16304,Phosphatidylglycerol (36:2) Levels,Phenotype,Phosphatidylglycerol (36:2) Levels
16306,Alcohol Dehydrogenase [Nadp(+)] Levels,Phenotype,Alcohol Dehydrogenase [Nadp(+)] Levels
16308,Ascending Aorta Diameter,Phenotype,Ascending Aorta Diameter
16310,High Light Scatter Reticulocyte Percentage Of Red Cells,Phenotype,High Light Scatter Reticulocyte Percentage Of Red Cells
16312,Phosphatidylcholine_38:2_[M+H]1+/Phosphatidylethanolamine_41:2_[M+H]1+ Levels,Phenotype,Phosphatidylcholine_38:2_[M+H]1+/Phosphatidylethanolamine_41:2_[M+H]1+ Levels
16314,Obesity-Related Traits,Phenotype,Obesity-Related Traits
16316,Cortical Surface Area (Mostest),Phenotype,Cortical Surface Area (Mostest)
16318,Diastolic Blood Pressure,Phenotype,Diastolic Blood Pressure
16320,Hip Circumference Adjusted For Bmi,Phenotype,Hip Circumference Adjusted For Bmi
16322,C-Reactive Protein,Phenotype,C-Reactive Protein
16324,Neutrophil Count,Phenotype,Neutrophil Count
16326,Ldl Cholesterol,Phenotype,Ldl Cholesterol
16328,Post Bronchodilator Fev1/Fvc Ratio,Phenotype,Post Bronchodilator Fev1/Fvc Ratio
16330,Phosphatidylcholine(33:3)_[M+H]1+/Phosphatidylethanolamine(36:3)_[M+H]1+/Phosphatidate(38:4)_[M+Nh4]1+ Levels,Phenotype,Phosphatidylcholine(33:3)_[M+H]1+/Phosphatidylethanolamine(36:3)_[M+H]1+/Phosphatidate(38:4)_[M+Nh4]1+ Levels
16332,Phosphatidylethanolamine_38:4_[M-H]1- Levels,Phenotype,Phosphatidylethanolamine_38:4_[M-H]1- Levels
16334,Free Cholesterol Levels In Very Large Vldl,Phenotype,Free Cholesterol Levels In Very Large Vldl
16336,Lysophosphatidylcholine(20:4)_[M+H]1+ Levels,Phenotype,Lysophosphatidylcholine(20:4)_[M+H]1+ Levels
16338,Cholesterol_[M+H-H2O]1+ Levels,Phenotype,Cholesterol_[M+H-H2O]1+ Levels
16340,Age At Menopause,Phenotype,Age At Menopause
16343,Spatial Qrs-T Angle,Phenotype,Spatial Qrs-T Angle
16345,Triglycerides To Phosphoglycerides Ratio (Ukb Data Field 23435),Phenotype,Triglycerides To Phosphoglycerides Ratio (Ukb Data Field 23435)
16347,Keratoconus,Phenotype,Keratoconus
16350,Serum Levels Of Protein Cd244,Phenotype,Serum Levels Of Protein Cd244
16353,Phosphatidylcholine-O_33:3_[M+H]1+/Phosphatidylcholine-P_33:2_[M+H]1+/Phosphatidylethanolamine-O_36:3_[M+H]1+ Levels,Phenotype,Phosphatidylcholine-O_33:3_[M+H]1+/Phosphatidylcholine-P_33:2_[M+H]1+/Phosphatidylethanolamine-O_36:3_[M+H]1+ Levels
16355,Non-Del(5Q) Myelodysplastic Syndromes,Phenotype,Non-Del(5Q) Myelodysplastic Syndromes
16357,White Blood Cell Count,Phenotype,White Blood Cell Count
16359,Total Cholesterol Levels,Phenotype,Total Cholesterol Levels
16361,Body Mass Index In Physically Active Individuals,Phenotype,Body Mass Index In Physically Active Individuals
16363,Triglycerides In Medium Hdl (Ukb Data Field 23571),Phenotype,Triglycerides In Medium Hdl (Ukb Data Field 23571)
16367,Light Vs. Dark Hair Color,Phenotype,Light Vs. Dark Hair Color
16369,Triglyceride Levels X Alcohol Consumption (Drinkers Vs Non-Drinkers) Interaction (2Df),Phenotype,Triglyceride Levels X Alcohol Consumption (Drinkers Vs Non-Drinkers) Interaction (2Df)
16372,Schizophrenia (Mtag),Phenotype,Schizophrenia (Mtag)
16376,A Body Shape Index,Phenotype,A Body Shape Index
16378,Phosphatidylethanolamine (16:0_18:2) Levels,Phenotype,Phosphatidylethanolamine (16:0_18:2) Levels
16381,Triacylglycerol_56:7_[M+Nh4]1+ Levels,Phenotype,Triacylglycerol_56:7_[M+Nh4]1+ Levels
16383,Asthma,Phenotype,Asthma
16385,Thromboembolic Events In Sickle Cell Disease,Phenotype,Thromboembolic Events In Sickle Cell Disease
16387,Serum Urate Levels,Phenotype,Serum Urate Levels
16389,Idp Dmri Probtrackx Od Slf R,Phenotype,Idp Dmri Probtrackx Od Slf R
16391,Interleukin-1 Alpha Levels,Phenotype,Interleukin-1 Alpha Levels
16393,Corneal Resistance Factor,Phenotype,Corneal Resistance Factor
16395,Cholesterol Levels In Small Ldl,Phenotype,Cholesterol Levels In Small Ldl
16397,Phosphatidylcholine-O(34:1)_[M+H]1+/Phosphatidylcholine-P(34:0)_[M+H]1+/Phosphatidylethanolamine-O(37:1)_[M+H]1+ Levels,Phenotype,Phosphatidylcholine-O(34:1)_[M+H]1+/Phosphatidylcholine-P(34:0)_[M+H]1+/Phosphatidylethanolamine-O(37:1)_[M+H]1+ Levels
16400,Idp T1 First Left Pallidum Volume,Phenotype,Idp T1 First Left Pallidum Volume
16402,Fasting Glucose,Phenotype,Fasting Glucose
16404,Crohn'S Disease,Phenotype,Crohn'S Disease
16406,Metabolic Syndrome,Phenotype,Metabolic Syndrome
16408,Neutral And Basic Amino Acid Transport Protein Rbat Levels,Phenotype,Neutral And Basic Amino Acid Transport Protein Rbat Levels
16411,Loneliness,Phenotype,Loneliness
16415,Urate Levels In Overweight Individuals,Phenotype,Urate Levels In Overweight Individuals
16419,Phosphatidylcholine(35:4)_[M+H]1+/Phosphatidylethanolamine(38:4)_[M+H]1+/Phosphatidate(40:5)_[M+Nh4]1+ Levels,Phenotype,Phosphatidylcholine(35:4)_[M+H]1+/Phosphatidylethanolamine(38:4)_[M+H]1+/Phosphatidate(40:5)_[M+Nh4]1+ Levels
16421,Subcortical Volume (Mostest),Phenotype,Subcortical Volume (Mostest)
16423,Ldl Cholesterol Levels X Short Total Sleep Time Interaction (2Df Test),Phenotype,Ldl Cholesterol Levels X Short Total Sleep Time Interaction (2Df Test)
16425,Hdl Cholesterol Levels In Current Drinkers,Phenotype,Hdl Cholesterol Levels In Current Drinkers
16427,Epididymal-Specific Lipocalin-8 Levels,Phenotype,Epididymal-Specific Lipocalin-8 Levels
16430,Phospholipids To Total Lipids Ratio In Chylomicrons And Extremely Large Vldl,Phenotype,Phospholipids To Total Lipids Ratio In Chylomicrons And Extremely Large Vldl
16432,Cholesterol Esters In Very Large Hdl,Phenotype,Cholesterol Esters In Very Large Hdl
16434,Neuroticism General Factor,Phenotype,Neuroticism General Factor
16436,Eosinophil Counts,Phenotype,Eosinophil Counts
16438,Multi-Trait Sum Score,Phenotype,Multi-Trait Sum Score
16440,Nonsyndromic Cleft Palate,Phenotype,Nonsyndromic Cleft Palate
16443,Cholesteryl Esters To Total Lipids Ratio In Chylomicrons And Extremely Large Vldl,Phenotype,Cholesteryl Esters To Total Lipids Ratio In Chylomicrons And Extremely Large Vldl
16446,Type 1 Diabetes,Phenotype,Type 1 Diabetes
16448,Eotaxin Level In Chronic Kidney Disease With Hypertension And No Diabetes (5301_7),Phenotype,Eotaxin Level In Chronic Kidney Disease With Hypertension And No Diabetes (5301_7)
16450,Vaginal Microbiome Metacyc Pathway (Teichoicacid-Pwy|Teichoic Acid (Poly-Glycerol) Biosynthesis),Phenotype,Vaginal Microbiome Metacyc Pathway (Teichoicacid-Pwy|Teichoic Acid (Poly-Glycerol) Biosynthesis)
16452,Peak Expiratory Flow,Phenotype,Peak Expiratory Flow
16455,Contrast Sensitivity,Phenotype,Contrast Sensitivity
16457,Type 2 Diabetes,Phenotype,Type 2 Diabetes
16459,Nonsyndromic Cleft Lip With Cleft Palate,Phenotype,Nonsyndromic Cleft Lip With Cleft Palate
16461,Worry,Phenotype,Worry
16463,Dna Methylation-Estimated Plasminogen Activator Inhibitor-1 Levels,Phenotype,Dna Methylation-Estimated Plasminogen Activator Inhibitor-1 Levels
16466,Apolipoprotein A1 Levels,Phenotype,Apolipoprotein A1 Levels
16468,Ssc-A On Hla Dr+ Natural Killer,Phenotype,Ssc-A On Hla Dr+ Natural Killer
16470,Qt Interval,Phenotype,Qt Interval
16474,Cognitive Ability-- Years Of Educational Attainment Or Schizophrenia (Pleiotropy),Phenotype,Cognitive Ability-- Years Of Educational Attainment Or Schizophrenia (Pleiotropy)
16476,Phosphatidylethanolamine (18:1_18:2) Levels,Phenotype,Phosphatidylethanolamine (18:1_18:2) Levels
16479,Resilience Score,Phenotype,Resilience Score
16482,Sex Hormone-Binding Globulin Levels,Phenotype,Sex Hormone-Binding Globulin Levels
16486,Laryngeal Squamous Cell Carcinoma,Phenotype,Laryngeal Squamous Cell Carcinoma
16488,Left-handedness,Phenotype,Left-handedness
16491,Diacylglycerol(36:3)_[M+H-H2O]1+ Levels,Phenotype,Diacylglycerol(36:3)_[M+H-H2O]1+ Levels
16494,Retinal Detachment Or Retinal Break,Phenotype,Retinal Detachment Or Retinal Break
16496,Myopia,Phenotype,Myopia
16501,Phosphatidylcholines (36:4)B Levels,Phenotype,Phosphatidylcholines (36:4)B Levels
16503,Vaginal Microbiome Metacyc Pathway (Pwy-6397|Mycolyl-Arabinogalactan-Peptidoglycan Complex Biosynthesis),Phenotype,Vaginal Microbiome Metacyc Pathway (Pwy-6397|Mycolyl-Arabinogalactan-Peptidoglycan Complex Biosynthesis)
16505,Lung Function (Fvc),Phenotype,Lung Function (Fvc)
16507,Metabolite Peak Levels (Qi10664),Phenotype,Metabolite Peak Levels (Qi10664)
16510,Jt Interval,Phenotype,Jt Interval
16513,Mean Corpuscular Hemoglobin,Phenotype,Mean Corpuscular Hemoglobin
16516,Lymphocyte Count,Phenotype,Lymphocyte Count
16518,Alcohol Consumption (Drinks Per Week) (Mtag),Phenotype,Alcohol Consumption (Drinks Per Week) (Mtag)
16521,Educational Attainment (Years Of Education),Phenotype,Educational Attainment (Years Of Education)
16523,Leprosy,Phenotype,Leprosy
16527,Triglycerides To Total Lipids In Chylomicrons And Extremely Large Vldl Percentage (Ukb Data Field 23583),Phenotype,Triglycerides To Total Lipids In Chylomicrons And Extremely Large Vldl Percentage (Ukb Data Field 23583)
16529,Creatinine Levels,Phenotype,Creatinine Levels
16531,Depression,Phenotype,Depression
16538,F-Oily Fish Liking (Derived Food-Liking Factor),Phenotype,F-Oily Fish Liking (Derived Food-Liking Factor)
16540,Malaria,Phenotype,Malaria
16542,Homa-B (Corrected For Homa-Ir),Phenotype,Homa-B (Corrected For Homa-Ir)
16544,Asthma Or Allergic Disease (Pleiotropy),Phenotype,Asthma Or Allergic Disease (Pleiotropy)
16546,Neuroticism,Phenotype,Neuroticism
16549,Rheumatoid Arthritis,Phenotype,Rheumatoid Arthritis
16551,Self-Reported Math Ability,Phenotype,Self-Reported Math Ability
16553,Body Mass Index X Other Green Vegetables (Green Pepper And Green Beans) Consumption Interaction,Phenotype,Body Mass Index X Other Green Vegetables (Green Pepper And Green Beans) Consumption Interaction
16556,Major Depressive Disorder,Phenotype,Major Depressive Disorder
16558,Interleukin-1 Receptor-Associated Kinase 4 Levels,Phenotype,Interleukin-1 Receptor-Associated Kinase 4 Levels
16560,Bmi And Adiposity (Confirmatory Factor Analysis Factor 7),Phenotype,Bmi And Adiposity (Confirmatory Factor Analysis Factor 7)
16562,Circulating Docosahexaenoic Acid Levels,Phenotype,Circulating Docosahexaenoic Acid Levels
16564,Amygnuclei Lh Volume Lateral-Nucleus,Phenotype,Amygnuclei Lh Volume Lateral-Nucleus
16567,Breast Size,Phenotype,Breast Size
16569,Obesity (Early Onset Extreme),Phenotype,Obesity (Early Onset Extreme)
16571,Hypertension,Phenotype,Hypertension
16573,Whole Body Fat Free Mass (Ukb Data Field 23101),Phenotype,Whole Body Fat Free Mass (Ukb Data Field 23101)
16578,Cd163/Msr1 Protein Level Ratio,Phenotype,Cd163/Msr1 Protein Level Ratio
16580,Prostate-Specific Antigen Levels,Phenotype,Prostate-Specific Antigen Levels
16584,Caffeine Metabolism (Plasma 1--7-Dimethylxanthine (Paraxanthine) To 1--3--7-Trimethylxanthine (Caffeine) Ratio),Phenotype,Caffeine Metabolism (Plasma 1--7-Dimethylxanthine (Paraxanthine) To 1--3--7-Trimethylxanthine (Caffeine) Ratio)
16589,Bioavailable Testosterone Levels,Phenotype,Bioavailable Testosterone Levels
16592,Cerebral Microbleeds,Phenotype,Cerebral Microbleeds
16594,Cervical Cancer,Phenotype,Cervical Cancer
16596,O-Cresol Sulfate Levels In Elite Athletes,Phenotype,O-Cresol Sulfate Levels In Elite Athletes
16598,Waist-Hip Ratio,Phenotype,Waist-Hip Ratio
