FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,FromType,ToType
25632,25631,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25633,25631,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
7392,25631,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
12302,25631,PDGFR tyrosine kinase receptor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25634,25635,urotensin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
6809,25638,PI3K inhibitor,MoA,Phase 1,Gene,Chemical_Compound
12097,25638,PI3K inhibitor,MoA,Phase 1,Gene,Chemical_Compound
25655,25659,glutamate receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25662,25663,polarization inhibitor,MoA,Phase 3,Gene,Chemical_Compound
7333,25688,lipoxygenase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25689,25688,lipoxygenase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
15875,25696,cholesterol inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25697,25696,cholesterol inhibitor,MoA,Phase 3,Gene,Chemical_Compound
2519,25702,gamma glutamyltransferase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25709,25710,orexin receptor antagonist,MoA,Phase 1,Gene,Chemical_Compound
25711,25710,orexin receptor antagonist,MoA,Phase 1,Gene,Chemical_Compound
25712,25713,FGFR inhibitor|VEGFR inhibitor,MoA,Phase 1,Gene,Chemical_Compound
15295,25713,FGFR inhibitor|VEGFR inhibitor,MoA,Phase 1,Gene,Chemical_Compound
9570,25714,HDAC inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
9941,25714,HDAC inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
5184,25714,HDAC inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
15499,25714,HDAC inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
11646,25714,HDAC inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
2742,25716,aldose reductase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
2742,25718,TGF beta receptor inhibitor,MoA,Phase 3,Gene,Chemical_Compound
6995,25718,TGF beta receptor inhibitor,MoA,Phase 3,Gene,Chemical_Compound
3828,25718,TGF beta receptor inhibitor,MoA,Phase 3,Gene,Chemical_Compound
5655,25718,TGF beta receptor inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25719,25718,TGF beta receptor inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25720,25721,CC chemokine receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
14201,25722,retinoid receptor agonist,MoA,Phase 1,Gene,Chemical_Compound
6665,25722,retinoid receptor agonist,MoA,Phase 1,Gene,Chemical_Compound
25551,25723,serotonin receptor agonist|serotonin receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25554,25723,serotonin receptor agonist|serotonin receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
9763,25724,protein synthesis stimulant,MoA,Preclinical,Gene,Chemical_Compound
5896,25724,protein synthesis stimulant,MoA,Preclinical,Gene,Chemical_Compound
4603,25724,protein synthesis stimulant,MoA,Preclinical,Gene,Chemical_Compound
7148,25724,protein synthesis stimulant,MoA,Preclinical,Gene,Chemical_Compound
13271,25724,protein synthesis stimulant,MoA,Preclinical,Gene,Chemical_Compound
10260,25724,protein synthesis stimulant,MoA,Preclinical,Gene,Chemical_Compound
4086,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
12778,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
3041,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
4467,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
10319,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
11199,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
25729,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
8891,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
11307,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
7103,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
2676,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
13924,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
7535,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
12634,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
12212,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
10825,25728,adenosine receptor agonist,MoA,Launched,Gene,Chemical_Compound
5594,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25731,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25732,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
14354,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25679,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
2854,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
13204,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
10758,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
12639,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
4086,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
12778,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
3041,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
12119,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
3862,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25733,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
4467,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25734,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25735,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
15130,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
11481,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
11330,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25736,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
3446,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
13259,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25737,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
11401,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
6083,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
12862,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25738,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
10708,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
6963,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
4181,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25739,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25740,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25741,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25742,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25743,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
13924,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25744,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25745,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
14716,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
13773,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
4074,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
10825,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
10978,25730,adenosine receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25748,25749,solute carrier family member inhibitor,MoA,Preclinical,Gene,Chemical_Compound
14890,25750,adiponectin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
13395,25750,adiponectin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25751,25752,opioid receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25547,25753,dopamine receptor antagonist|serotonin receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25551,25753,dopamine receptor antagonist|serotonin receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
7333,25755,11-beta hydroxysteroid dehydrogenase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25689,25755,11-beta hydroxysteroid dehydrogenase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25655,25756,glutamate receptor negative allosteric modulator,MoA,Phase 2,Gene,Chemical_Compound
25655,25757,glutamate receptor modulator,MoA,Preclinical,Gene,Chemical_Compound
12907,25758,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
13590,25758,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
11200,25758,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
25759,25758,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
25760,25758,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
25712,25758,EGFR inhibitor|VEGFR inhibitor,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
25547,25761,dopamine receptor agonist,MoA,Phase 3,Gene,Chemical_Compound
11393,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25625,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25764,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
8093,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
15425,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25765,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25766,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25767,25763,estrogen receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
3990,25768,sortilin inhibitor,MoA,Preclinical,Gene,Chemical_Compound
11627,25769,insulin growth factor receptor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
13754,25770,PARP inhibitor,MoA,Preclinical,Gene,Chemical_Compound
12907,25771,EGFR inhibitor|JAK inhibitor,MoA,Preclinical,Gene,Chemical_Compound
11600,25771,EGFR inhibitor|JAK inhibitor,MoA,Preclinical,Gene,Chemical_Compound
5775,25771,EGFR inhibitor|JAK inhibitor,MoA,Preclinical,Gene,Chemical_Compound
8227,25772,tyrosine kinase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
8748,25773,isocitrate dehydrogenase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
6693,25774,isocitrate dehydrogenase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
11461,25775,cell cycle inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25544,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25777,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25778,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25746,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25652,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
25681,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
6576,25776,nitric oxide synthase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
6576,25779,imidazoline receptor ligand,MoA,Preclinical,Gene,Chemical_Compound
9967,25780,retinoid receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
14857,25780,retinoid receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
25701,25780,retinoid receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
6481,25781,retinoid receptor agonist,MoA,Phase 1/Phase 2,Gene,Chemical_Compound
25785,25786,free fatty acid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
13991,25787,adrenergic receptor ligand,MoA,Preclinical,Gene,Chemical_Compound
25788,25789,prostanoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25790,25789,prostanoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
9776,25789,prostanoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
7320,25789,prostanoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
2939,25791,core binding factor inhibitor,MoA,Preclinical,Gene,Chemical_Compound
4074,25792,tyrosine kinase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25547,25793,dopamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25548,25793,dopamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25549,25793,dopamine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
14923,25794,SIRT inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25795,25796,lipoxygenase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
4449,25797,p38 MAPK inhibitor,MoA,Preclinical,Gene,Chemical_Compound
8551,25799,apoptosis stimulant|STAT inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25800,25801,serotonin receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
15452,25802,gonadotropin releasing factor hormone receptor antagonist,MoA,Launched,Gene,Chemical_Compound
4215,25812,aldehyde dehydrogenase activator,MoA,Preclinical,Gene,Chemical_Compound
12989,25813,topoisomerase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
9732,25816,phosphatidylglycerophosphatase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
13343,25828,Aurora kinase inhibitor,MoA,Phase 3,Gene,Chemical_Compound
10608,25831,cytokine production inhibitor,MoA,Phase 2,Gene,Chemical_Compound
6190,25831,cytokine production inhibitor,MoA,Phase 2,Gene,Chemical_Compound
10608,25836,TRPV agonist,MoA,Preclinical,Gene,Chemical_Compound
25709,25838,orexin receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
25711,25838,orexin receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
8386,25840,anticancer agent,MoA,Preclinical,Gene,Chemical_Compound
25596,25842,serotonin receptor antagonist,MoA,Withdrawn,Gene,Chemical_Compound
25843,25844,protease inhibitor,MoA,Phase 3,Gene,Chemical_Compound
6599,25847,cytochrome P450 inhibitor|HMGCR inhibitor,MoA,Preclinical,Gene,Chemical_Compound
11229,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
12320,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
6423,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
25849,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
25785,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
25665,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
12796,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
6190,25848,omega 3 fatty acid stimulant,MoA,Phase 3,Gene,Chemical_Compound
25614,25850,histamine receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25614,25851,histamine receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25553,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25853,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25854,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25554,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
7079,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25555,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25855,25852,serotonin receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25598,25856,benzodiazepine receptor agonist,MoA,Withdrawn,Gene,Chemical_Compound
2742,25863,aldose reductase inhibitor,MoA,Preclinical,Gene,Chemical_Compound
25554,25864,serotonin receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
25584,25865,nicotinic receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25866,25865,nicotinic receptor agonist,MoA,Phase 2,Gene,Chemical_Compound
25712,25867,MET inhibitor|VEGFR inhibitor,MoA,Phase 1,Gene,Chemical_Compound
10745,25867,MET inhibitor|VEGFR inhibitor,MoA,Phase 1,Gene,Chemical_Compound
15295,25867,MET inhibitor|VEGFR inhibitor,MoA,Phase 1,Gene,Chemical_Compound
4229,25870,HSP inhibitor,MoA,Phase 2,Gene,Chemical_Compound
15298,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
8227,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
5659,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
6044,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
3305,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
5178,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
13950,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
11699,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
12907,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25719,25874,CDK inhibitor,MoA,Phase 2,Gene,Chemical_Compound
11061,25875,glycine transporter inhibitor,MoA,Phase 1,Gene,Chemical_Compound
25876,25877,cannabinoid receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25878,25877,cannabinoid receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25795,25879,lipoxygenase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25876,25880,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25881,25880,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25882,25880,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25876,25883,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25878,25883,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25882,25883,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25876,25884,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical,Gene,Chemical_Compound
25878,25884,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical,Gene,Chemical_Compound
25885,25884,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical,Gene,Chemical_Compound
6190,25884,cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist,MoA,Preclinical,Gene,Chemical_Compound
6481,25886,retinoid receptor agonist,MoA,Preclinical,Gene,Chemical_Compound
25876,25887,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25878,25887,cannabinoid receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25652,25888,potassium channel blocker,MoA,Preclinical,Gene,Chemical_Compound
25894,25895,CC chemokine receptor antagonist,MoA,Preclinical,Gene,Chemical_Compound
25720,25896,CC chemokine receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
25894,25896,CC chemokine receptor antagonist,MoA,Phase 3,Gene,Chemical_Compound
25832,25899,xanthine oxidase inhibitor,MoA,Phase 2,Gene,Chemical_Compound
15715,25900,PERK inhibitor,MoA,Preclinical,Gene,Chemical_Compound
10745,25901,tyrosine kinase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
9986,25902,MDM inhibitor,MoA,Phase 2,Gene,Chemical_Compound
12097,25903,PI3K inhibitor,MoA,Phase 2,Gene,Chemical_Compound
10745,25904,MET inhibitor,MoA,Phase 2,Gene,Chemical_Compound
25905,25906,CC chemokine receptor antagonist,MoA,Phase 2,Gene,Chemical_Compound
6190,25907,TRPV antagonist,MoA,Phase 1,Gene,Chemical_Compound
25908,25909,MAP kinase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
15947,25909,MAP kinase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
6608,25909,MAP kinase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
4449,25909,MAP kinase inhibitor,MoA,Phase 1,Gene,Chemical_Compound
25849,25910,free fatty acid receptor agonist,MoA,Phase 1,Gene,Chemical_Compound
5659,25911,CDK inhibitor|FLT3 inhibitor,MoA,Phase 1,Gene,Chemical_Compound
3305,25911,CDK inhibitor|FLT3 inhibitor,MoA,Phase 1,Gene,Chemical_Compound
25632,25911,CDK inhibitor|FLT3 inhibitor,MoA,Phase 1,Gene,Chemical_Compound
6190,25912,TRPV antagonist,MoA,Preclinical,Gene,Chemical_Compound
12097,25913,PI3K inhibitor,MoA,Phase 2,Gene,Chemical_Compound
