FromID,ToID,Relation_value,Relation_type,Relation_Context_ClinicalPhase,Relation_Context_DiseaseArea,Relation_Context_Indication,FromType,ToType
3305,25607,CDK inhibitor,MoA,Launched,oncology,breast cancer,Gene,Chemical_Compound
25608,25609,androgen biosynthesis inhibitor,MoA,Launched,oncology,prostate cancer,Gene,Chemical_Compound
25610,25609,androgen biosynthesis inhibitor,MoA,Launched,oncology,prostate cancer,Gene,Chemical_Compound
25610,25611,androgen biosynthesis inhibitor,MoA,Launched,oncology,prostate cancer,Gene,Chemical_Compound
25636,25637,Bruton's tyrosine kinase (BTK) inhibitor,MoA,Launched,hematologic malignancy,mantle cell lymphoma (MCL),Gene,Chemical_Compound
25598,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25640,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25641,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25600,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25642,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25643,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25644,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25645,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
15774,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25646,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
6289,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25647,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25648,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25649,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25650,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25651,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25652,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
11142,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
4203,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
14160,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
14968,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25653,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25654,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25655,25639,glutamate receptor antagonist,MoA,Launched,neurology/psychiatry,abstinence from alcohol,Gene,Chemical_Compound
25656,25657,glucosidase inhibitor,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
25658,25657,glucosidase inhibitor,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
25660,25661,adrenergic receptor antagonist,MoA,Launched,cardiology,hypertension|ventricular arrhythmias,Gene,Chemical_Compound
25592,25664,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25593,25664,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25594,25664,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25595,25664,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
9280,25664,acetylcholine receptor agonist,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25665,25666,prostanoid receptor antagonist,MoA,Launched,rheumatology,rheumatoid arthritis|ankylosing spondylitis|osteoarthritis|periarthritis|lumbago|ischiadynia,Gene,Chemical_Compound
8041,25667,adenosine receptor agonist,MoA,Launched,pulmonary,asthma,Gene,Chemical_Compound
7829,25668,cyclooxygenase inhibitor,MoA,Launched,rheumatology,osteoarthritis,Gene,Chemical_Compound
25665,25668,cyclooxygenase inhibitor,MoA,Launched,rheumatology,osteoarthritis,Gene,Chemical_Compound
3520,25672,vitamin K antagonist,MoA,Launched,hematology,deep vein thrombosis (DVT),Gene,Chemical_Compound
25573,25673,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative,Gene,Chemical_Compound
13991,25673,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative,Gene,Chemical_Compound
25546,25673,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative,Gene,Chemical_Compound
25547,25673,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative,Gene,Chemical_Compound
25551,25673,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative,Gene,Chemical_Compound
25554,25673,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,sedative,Gene,Chemical_Compound
15239,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
10748,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
7555,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25675,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25676,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
10749,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25677,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25678,25674,carbonic anhydrase inhibitor,MoA,Launched,ophthalmology,glaucoma,Gene,Chemical_Compound
25679,25680,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
25681,25680,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
25682,25680,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
25683,25680,ATP channel blocker,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
25684,25685,urease inhibitor,MoA,Launched,infectious disease,urinary tract infections,Gene,Chemical_Compound
25546,25686,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,psychosis,Gene,Chemical_Compound
25547,25686,dopamine receptor antagonist,MoA,Launched,neurology/psychiatry,psychosis,Gene,Chemical_Compound
10141,25687,methyltransferase inhibitor,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
6859,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
25592,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
25593,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
25594,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
25595,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
9280,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
25691,25690,acetylcholine receptor agonist,MoA,Launched,neurology/psychiatry|gastroenterology|pulmonary,drowsiness|fatigue|headache|indigestion|chest congestion,Gene,Chemical_Compound
10880,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
5026,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
25652,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
11142,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
4203,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
14968,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
25653,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
4647,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
8456,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
3844,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
25693,25692,mucolytic agent,MoA,Launched,gastroenterology,acetaminophen overdose|hepatic injury,Gene,Chemical_Compound
25694,25695,5 alpha reductase inhibitor,MoA,Launched,dermatology,wound healing,Gene,Chemical_Compound
15875,25698,cholesterol inhibitor,MoA,Launched,endocrinology,hyperlipidemia,Gene,Chemical_Compound
6481,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
14201,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
6665,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
25700,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
9967,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
14857,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
25701,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
8551,25699,retinoid receptor agonist,MoA,Launched,dermatology,psoriasis,Gene,Chemical_Compound
15946,25703,topoisomerase inhibitor,MoA,Launched,hematologic malignancy,acute myeloid leukemia (AML),Gene,Chemical_Compound
12989,25703,topoisomerase inhibitor,MoA,Launched,hematologic malignancy,acute myeloid leukemia (AML),Gene,Chemical_Compound
25592,25704,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD),Gene,Chemical_Compound
25593,25704,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD),Gene,Chemical_Compound
25594,25704,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD),Gene,Chemical_Compound
25595,25704,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD),Gene,Chemical_Compound
9280,25704,acetylcholine receptor antagonist,MoA,Launched,pulmonary,bronchitis|emphysema|chronic obstructive pulmonary disease (COPD),Gene,Chemical_Compound
7902,25705,hypoxia inducible factor inhibitor,MoA,Launched,infectious disease,fungal infection,Gene,Chemical_Compound
7902,25706,hypoxia inducible factor inhibitor,MoA,Launched,infectious disease,fungal infection,Gene,Chemical_Compound
13040,25707,histamine receptor antagonist,MoA,Launched,allergy,allergic rhinitis,Gene,Chemical_Compound
5173,25708,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH),Gene,Chemical_Compound
6150,25708,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH),Gene,Chemical_Compound
10635,25715,DNA polymerase inhibitor,MoA,Launched,infectious disease,genitial herpes|shingles|chicken pox,Gene,Chemical_Compound
6481,25717,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
14201,25717,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
6665,25717,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
9967,25717,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
14857,25717,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
25701,25717,retinoid receptor agonist,MoA,Launched,dermatology,acne vulgaris (AV),Gene,Chemical_Compound
8041,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
25726,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
9810,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
25727,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
6095,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
10173,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
10825,25725,adenosine receptor agonist,MoA,Launched,cardiology,Wolff-Parkinson-White Syndrome (WPW),Gene,Chemical_Compound
25746,25747,acetylcholine receptor antagonist,MoA,Launched,neurology/psychiatry,spasms,Gene,Chemical_Compound
25573,25754,adrenergic receptor agonist,MoA,Launched,hematology,hemorrhage,Gene,Chemical_Compound
12907,25762,EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC),Gene,Chemical_Compound
13590,25762,EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC),Gene,Chemical_Compound
11200,25762,EGFR inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC),Gene,Chemical_Compound
25554,25782,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression,Gene,Chemical_Compound
7079,25782,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression,Gene,Chemical_Compound
25555,25782,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression,Gene,Chemical_Compound
25783,25782,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression,Gene,Chemical_Compound
25784,25782,melatonin receptor agonist|serotonin receptor antagonist,MoA,Launched,neurology/psychiatry,depression,Gene,Chemical_Compound
7591,25798,angiotensin converting enzyme inhibitor,MoA,Launched,cardiology,hypertension,Gene,Chemical_Compound
3860,25803,tubulin polymerization inhibitor,MoA,Launched,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis,Gene,Chemical_Compound
7762,25803,tubulin polymerization inhibitor,MoA,Launched,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis,Gene,Chemical_Compound
5600,25803,tubulin polymerization inhibitor,MoA,Launched,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis,Gene,Chemical_Compound
25804,25805,adrenergic receptor agonist,MoA,Launched,pulmonary,asthma,Gene,Chemical_Compound
13040,25806,histamine receptor antagonist,MoA,Launched,allergy,allergic conjunctivitis,Gene,Chemical_Compound
7829,25807,cyclooxygenase inhibitor,MoA,Launched,rheumatology,rheumatoid arthritis,Gene,Chemical_Compound
25808,25809,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses,Gene,Chemical_Compound
14109,25809,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses,Gene,Chemical_Compound
25810,25809,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses,Gene,Chemical_Compound
25592,25811,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant,Gene,Chemical_Compound
25593,25811,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant,Gene,Chemical_Compound
25594,25811,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant,Gene,Chemical_Compound
25595,25811,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant,Gene,Chemical_Compound
25571,25811,muscle relaxant,MoA,Launched,neurology/psychiatry,muscle relaxant,Gene,Chemical_Compound
11330,25814,ALK tyrosine kinase receptor inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC),Gene,Chemical_Compound
10745,25814,ALK tyrosine kinase receptor inhibitor,MoA,Launched,oncology,non-small cell lung cancer (NSCLC),Gene,Chemical_Compound
4720,25815,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis,Gene,Chemical_Compound
6767,25815,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis,Gene,Chemical_Compound
8062,25815,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis,Gene,Chemical_Compound
12715,25815,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis,Gene,Chemical_Compound
4282,25815,bone resorption inhibitor,MoA,Launched,orthopedics,osteoporosis,Gene,Chemical_Compound
25817,25818,vitamin D receptor agonist,MoA,Launched,endocrinology,vitamin D deficiency,Gene,Chemical_Compound
6126,25818,vitamin D receptor agonist,MoA,Launched,endocrinology,vitamin D deficiency,Gene,Chemical_Compound
25573,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
13991,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25575,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25578,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25820,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25821,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25822,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25823,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25824,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25662,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25825,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
4545,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
25826,25819,adrenergic receptor antagonist,MoA,Launched,urology,benign prostatic hyperplasia (BPH),Gene,Chemical_Compound
13040,25827,histamine receptor agonist|histamine receptor antagonist,MoA,Launched,neurology/psychiatry|allergy|pulmonary,sedative|urticaria|itching|cough suppressant,Gene,Chemical_Compound
25829,25830,renin inhibitor,MoA,Launched,cardiology,hypertension,Gene,Chemical_Compound
25832,25833,xanthine oxidase inhibitor,MoA,Launched,rheumatology|urology,gout|kidney stones,Gene,Chemical_Compound
11393,25834,steroidal progestin,MoA,Launched,obstetrics/gynecology,premature labor,Gene,Chemical_Compound
25835,25834,steroidal progestin,MoA,Launched,obstetrics/gynecology,premature labor,Gene,Chemical_Compound
11061,25834,steroidal progestin,MoA,Launched,obstetrics/gynecology,premature labor,Gene,Chemical_Compound
10693,25837,neurotransmitter agonist,MoA,Launched,pulmonary,chronic obstructive pulmonary disease (COPD),Gene,Chemical_Compound
25552,25839,serotonin receptor agonist,MoA,Launched,neurology/psychiatry,migraine headache,Gene,Chemical_Compound
25553,25839,serotonin receptor agonist,MoA,Launched,neurology/psychiatry,migraine headache,Gene,Chemical_Compound
7351,25841,dipeptidyl peptidase inhibitor,MoA,Launched,endocrinology,diabetes mellitus,Gene,Chemical_Compound
9637,25845,PI3K inhibitor,MoA,Launched,oncology,breast cancer,Gene,Chemical_Compound
6809,25845,PI3K inhibitor,MoA,Launched,oncology,breast cancer,Gene,Chemical_Compound
12097,25845,PI3K inhibitor,MoA,Launched,oncology,breast cancer,Gene,Chemical_Compound
25846,25845,PI3K inhibitor,MoA,Launched,oncology,breast cancer,Gene,Chemical_Compound
25660,25857,adrenergic receptor antagonist,MoA,Launched,cardiology,angina pectoris,Gene,Chemical_Compound
25804,25857,adrenergic receptor antagonist,MoA,Launched,cardiology,angina pectoris,Gene,Chemical_Compound
25858,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
3489,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
25860,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
25861,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
25788,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
25790,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
9776,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
25862,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
9852,25859,prostanoid receptor agonist,MoA,Launched,cardiology,congenital heart defects,Gene,Chemical_Compound
25835,25868,progestogen hormone,MoA,Launched,endocrinology,estrus,Gene,Chemical_Compound
25551,25869,muscle relaxant,MoA,Launched,gastroenterology,irritable bowel syndrome|diverticular disease,Gene,Chemical_Compound
25751,25871,opioid receptor antagonist,MoA,Launched,gastroenterology,postoperative ileus,Gene,Chemical_Compound
25872,25871,opioid receptor antagonist,MoA,Launched,gastroenterology,postoperative ileus,Gene,Chemical_Compound
25873,25871,opioid receptor antagonist,MoA,Launched,gastroenterology,postoperative ileus,Gene,Chemical_Compound
25547,25889,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,Gene,Chemical_Compound
11142,25889,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,Gene,Chemical_Compound
4203,25889,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,Gene,Chemical_Compound
14160,25889,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,Gene,Chemical_Compound
14968,25889,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,Gene,Chemical_Compound
25653,25889,glutamate receptor antagonist,MoA,Launched,infectious disease|neurology/psychiatry,influenza A virus infection|Parkinson's Disease,Gene,Chemical_Compound
6859,25890,cholinesterase inhibitor,MoA,Launched,neurology/psychiatry,myasthenia gravis,Gene,Chemical_Compound
5173,25891,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH),Gene,Chemical_Compound
6150,25891,endothelin receptor antagonist,MoA,Launched,pulmonary,pulmonary arterial hypertension (PAH),Gene,Chemical_Compound
25808,25892,sodium channel blocker,MoA,Launched,pulmonary,bronchitis,Gene,Chemical_Compound
14109,25893,glucocorticoid receptor agonist,MoA,Launched,dermatology,corticosteroid-responsive dermatoses,Gene,Chemical_Compound
25804,25897,adrenergic receptor agonist,MoA,Launched,cardiology,hypotension,Gene,Chemical_Compound
7829,25898,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry,pain relief,Gene,Chemical_Compound
25665,25898,cyclooxygenase inhibitor,MoA,Launched,neurology/psychiatry,pain relief,Gene,Chemical_Compound
25922,25923,reducing agent,MoA,Launched,nephrology,renal toxicity,Gene,Chemical_Compound
4458,25923,reducing agent,MoA,Launched,nephrology,renal toxicity,Gene,Chemical_Compound
25924,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
25926,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
25927,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
25777,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
8834,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
25928,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
9106,25925,sodium channel blocker,MoA,Launched,cardiology,hypertension|congestive heart failure,Gene,Chemical_Compound
