Id,Name,Type
193,acetohexamide,Chemical Compound
194,KCNJ1,Gene
195,KCNJ10,Gene
196,KCNJ11,Gene
197,MMP12,Gene
198,acetohydroxamic-acid,Chemical Compound
199,acetophenazine,Chemical Compound
200,PPARG,Gene
201,acetyl-farnesyl-cysteine,Chemical Compound
202,HSD11B1,Gene
203,acetyl-11-keto-beta-boswellic-acid,Chemical Compound
204,HSD11B2,Gene
205,ACHE,Gene
206,acetylcholine,Chemical Compound
207,CHRNA2,Gene
208,ACY1,Gene
209,acetylcysteine,Chemical Compound
210,CHUK,Gene
211,GSS,Gene
212,IKBKB,Gene
213,RELA,Gene
214,SLC7A11,Gene
215,GAST,Gene
216,acexamic-acid,Chemical Compound
217,HCAR2,Gene
218,acifran,Chemical Compound
219,HCAR3,Gene
220,acipimox,Chemical Compound
221,acitretin,Chemical Compound
222,RARG,Gene
223,RBP1,Gene
224,RXRA,Gene
225,RXRB,Gene
226,RXRG,Gene
227,STAT3,Gene
228,CTPS1,Gene
229,acivicin,Chemical Compound
230,TOP1,Gene
231,aclarubicin,Chemical Compound
232,TOP2A,Gene
233,aclidinium,Chemical Compound
234,HIF1A,Gene
235,acriflavine,Chemical Compound
236,acriflavinium,Chemical Compound
237,acrivastine,Chemical Compound
238,EDNRA,Gene
239,ACT-132577,Chemical Compound
240,EDNRB,Gene
241,HCRTR1,Gene
242,ACT-462206,Chemical Compound
243,HCRTR2,Gene
244,KDR,Gene
245,ACTB-1003,Chemical Compound
246,TEK,Gene
247,HDAC1,Gene
248,ACY-1215,Chemical Compound
249,HDAC2,Gene
250,HDAC3,Gene
251,HDAC6,Gene
252,HDAC8,Gene
253,PNP,Gene
254,acyclovir,Chemical Compound
255,AKR1B1,Gene
256,AD-5467,Chemical Compound
257,adapalene,Chemical Compound
258,adaprev,Chemical Compound
259,GPI,Gene
260,HK1,Gene
261,M6PR,Gene
262,PYGM,Gene
263,CCR5,Gene
264,adaptavir,Chemical Compound
265,adarotene,Chemical Compound
266,adatanserin,Chemical Compound
267,ACACB,Gene
268,adenine,Chemical Compound
269,ACP1,Gene
270,APRT,Gene
271,MTAP,Gene
272,PECR,Gene
273,SRPK2,Gene
274,adenosine,Chemical Compound
275,ADORA2A,Gene
276,ADORA2B,Gene
277,ADORA3,Gene
278,PI4K2A,Gene
279,PI4K2B,Gene
280,TRPM4,Gene
281,ACSL1,Gene
282,adenosine-phosphate,Chemical Compound
283,ACSS1,Gene
284,ACSS2,Gene
285,ADCY1,Gene
286,CREB1,Gene
287,FBP1,Gene
288,HINT1,Gene
289,PIM1,Gene
290,PRKAA1,Gene
291,PRKAB1,Gene
292,PRKAB2,Gene
293,PYGL,Gene
294,ABCA1,Gene
295,adenosine-triphosphate,Chemical Compound
296,ABCB1,Gene
297,ABCB11,Gene
298,ABCC2,Gene
299,ABCC9,Gene
300,ABCG1,Gene
301,ABL1,Gene
302,ABL2,Gene
303,ACVR1,Gene
304,ACVR1B,Gene
305,ACVRL1,Gene
306,ADRBK1,Gene
307,ADRBK2,Gene
308,AFG3L2,Gene
309,ALK,Gene
310,AMHR2,Gene
311,APAF1,Gene
312,ARAF,Gene
313,ASNA1,Gene
314,ASNS,Gene
315,ASS1,Gene
316,CDK15,Gene
317,GPR17,Gene
318,ITPR1,Gene
319,NAE1,Gene
320,NT5C2,Gene
321,P2RY1,Gene
322,P2RY11,Gene
323,P2RY13,Gene
324,P2RY2,Gene
325,P2RY4,Gene
326,RYR1,Gene
327,RYR2,Gene
328,RYR3,Gene
329,SLC25A4,Gene
330,TNK2,Gene
331,TRPM7,Gene
332,CHRNA1,Gene
333,adiphenine,Chemical Compound
334,SLC22A6,Gene
335,adipic-acid,Chemical Compound
336,ADIPOR1,Gene
337,adiporon,Chemical Compound
338,ADIPOR2,Gene
339,OPRD1,Gene
340,ADL5859,Chemical Compound
341,adoprazine,Chemical Compound
342,adrenalone,Chemical Compound
343,adrenosterone,Chemical Compound
344,ADX-10059,Chemical Compound
345,ADX-47273,Chemical Compound
346,EGFR,Gene
347,AEE788,Chemical Compound
348,ERBB2,Gene
349,ERBB4,Gene
350,FGFR2,Gene
351,FGFR3,Gene
352,afalanine,Chemical Compound
353,afatinib,Chemical Compound
354,ESR1,Gene
355,afimoxifene,Chemical Compound
356,ESRRG,Gene
357,PLD1,Gene
358,PRKCD,Gene
359,PRKCE,Gene
360,PRKCQ,Gene
361,PRKCZ,Gene
362,SORT1,Gene
363,AF38469,Chemical Compound
364,IGF1R,Gene
365,AG-1024,Chemical Compound
366,PARP1,Gene
367,AG-14361,Chemical Compound
368,AG-490,Chemical Compound
369,JAK2,Gene
370,JAK3,Gene
371,CDK2,Gene
372,AG-555,Chemical Compound
373,IDH1,Gene
374,AGI-5198,Chemical Compound
375,IDH2,Gene
376,AGI-6780,Chemical Compound
377,METAP2,Gene
378,AGM-1470,Chemical Compound
379,agmatine,Chemical Compound
380,ASIC3,Gene
381,CACNA1B,Gene
382,NISCH,Gene
383,AGN-192403,Chemical Compound
384,AGN-194310,Chemical Compound
385,AGN-195183,Chemical Compound
386,agomelatine,Chemical Compound
387,MTNR1A,Gene
388,MTNR1B,Gene
389,FFAR4,Gene
390,AH-7614,Chemical Compound
391,AH11110,Chemical Compound
392,PTGDR,Gene
393,AH6809,Chemical Compound
394,PTGER1,Gene
395,PTGER2,Gene
396,PTGER3,Gene
397,CBFB,Gene
398,AI-10-49,Chemical Compound
399,AIM-100,Chemical Compound
400,AJ76-(+),Chemical Compound
401,SIRT2,Gene
402,AK-7,Chemical Compound
403,ALOX5,Gene
404,AKBA,Chemical Compound
405,MAPK14,Gene
406,AL-8697,Chemical Compound
407,ACE,Gene
408,alacepril,Chemical Compound
409,alantolactone,Chemical Compound
410,SLC6A4,Gene
411,alaproclate,Chemical Compound
412,GNRH1,Gene
413,alarelin,Chemical Compound
414,TUBA1A,Gene
415,albendazole,Chemical Compound
416,TUBB4B,Gene
417,ADRB2,Gene
418,albuterol,Chemical Compound
419,alcaftadine,Chemical Compound
420,alclofenac,Chemical Compound
421,CYP3A4,Gene
422,alclometasone-dipropionate,Chemical Compound
423,NR3C1,Gene
424,SERPINA6,Gene
425,alcuronium,Chemical Compound
426,ALDH2,Gene
427,alda-1,Chemical Compound
428,aldoxorubicin,Chemical Compound
429,alectinib,Chemical Compound
430,MET,Gene
431,ATP6V1A,Gene
432,alendronate,Chemical Compound
433,FDPS,Gene
434,PTPN4,Gene
435,PTPRE,Gene
436,PTPRS,Gene
437,PTPMT1,Gene
438,alexidine,Chemical Compound
439,CYP27B1,Gene
440,alfacalcidol,Chemical Compound
441,VDR,Gene
442,alfuzosin,Chemical Compound
443,SCN11A,Gene
444,SCN1A,Gene
445,SCN2A,Gene
446,SCN3A,Gene
447,SCN4A,Gene
448,SCN7A,Gene
449,SCN8A,Gene
450,SCN9A,Gene
451,alimemazine,Chemical Compound
452,AURKA,Gene
453,alisertib,Chemical Compound
454,REN,Gene
455,aliskiren-hemifumarate,Chemical Compound
456,allicin,Chemical Compound
457,XDH,Gene
458,allopurinol,Chemical Compound
459,allylestrenol,Chemical Compound
460,PGR,Gene
461,SLC6A9,Gene
462,allylisothiocyanate,Chemical Compound
463,ATP1A1,Gene
464,almitrine,Chemical Compound
465,almorexant,Chemical Compound
466,almotriptan,Chemical Compound
467,CASP8,Gene
468,aloe-emodin,Chemical Compound
469,DPP4,Gene
470,alogliptin,Chemical Compound
471,alosetron,Chemical Compound
472,CTSG,Gene
473,aloxistatin,Chemical Compound
474,PIK3CA,Gene
475,alpelisib,Chemical Compound
476,PIK3CG,Gene
477,HMGCR,Gene
478,alpha-asarone,Chemical Compound
479,ELOVL4,Gene
480,alpha-linolenic-acid,Chemical Compound
481,FADS1,Gene
482,FADS2,Gene
483,FFAR1,Gene
484,SLC8A1,Gene
485,alpha-methylhistamine-dihydrobromide-(R)-(-),Chemical Compound
486,alpha-methylhistamine-dihydrobromide-(S)-(+),Chemical Compound
487,alpha-methylserotonin,Chemical Compound
488,HTR1E,Gene
489,HTR1F,Gene
490,HTR4,Gene
491,alpidem,Chemical Compound
492,alprenolol,Chemical Compound
493,CATSPER1,Gene
494,alprostadil,Chemical Compound
495,CATSPER2,Gene
496,CATSPER3,Gene
497,CATSPER4,Gene
498,PTGER4,Gene
499,PTGIR,Gene
500,alrestatin,Chemical Compound
501,altanserin,Chemical Compound
502,altinicline,Chemical Compound
503,CHRNB2,Gene
504,altiratinib,Chemical Compound
505,altrenogest,Chemical Compound
506,alverine,Chemical Compound
507,HSP90AA1,Gene
508,alvespimycin,Chemical Compound
509,alvimopan,Chemical Compound
510,OPRK1,Gene
511,OPRM1,Gene
512,CDK1,Gene
513,alvocidib,Chemical Compound
514,CDK5,Gene
515,CDK7,Gene
516,CDK8,Gene
517,CDK9,Gene
518,ALX-5407,Chemical Compound
519,CNR1,Gene
520,AM-1241,Chemical Compound
521,CNR2,Gene
522,AM-24,Chemical Compound
523,AM-251,Chemical Compound
524,GPR18,Gene
525,GPR55,Gene
526,AM-281,Chemical Compound
527,AM-404,Chemical Compound
528,FAAH,Gene
529,AM-580,Chemical Compound
530,AM-630,Chemical Compound
531,AM-92016,Chemical Compound
532,amantadine,Chemical Compound
533,ambenonium,Chemical Compound
534,ambrisentan,Chemical Compound
535,ambroxol,Chemical Compound
536,amcinonide,Chemical Compound
537,CXCR4,Gene
538,AMD-3465,Chemical Compound
539,AMD11070,Chemical Compound
540,amezinium,Chemical Compound
541,amfenac,Chemical Compound
542,amflutizole,Chemical Compound
543,EIF2AK4,Gene
544,AMG-PERK-44,Chemical Compound
545,AMG-208,Chemical Compound
546,MDM2,Gene
547,AMG-232,Chemical Compound
548,AMG-319,Chemical Compound
549,AMG-337,Chemical Compound
550,CXCR3,Gene
551,AMG-487-(+/-),Chemical Compound
552,AMG-517,Chemical Compound
553,MAPK11,Gene
554,AMG-548,Chemical Compound
555,MAPK12,Gene
556,MAPK13,Gene
557,AMG-837,Chemical Compound
558,AMG-925,Chemical Compound
559,AMG-9810,Chemical Compound
560,AMG319,Chemical Compound
561,AMG458,Chemical Compound
562,AMG900,Chemical Compound
563,AURKB,Gene
564,AURKC,Gene
565,PRMT1,Gene
566,AMI-1,Chemical Compound
567,ADRB3,Gene
568,amibegron,Chemical Compound
569,MAOA,Gene
570,amiflamine,Chemical Compound
571,SLC6A2,Gene
572,ALPPL2,Gene
573,amifostine,Chemical Compound
574,ENPP1,Gene
575,AOC1,Gene
576,amiloride,Chemical Compound
577,ASIC1,Gene
578,ASIC2,Gene
579,PKD2,Gene
580,PKD2L1,Gene
581,PLAU,Gene
582,SCNN1A,Gene
583,SCNN1B,Gene
584,SCNN1D,Gene
585,SCNN1G,Gene
586,SLC9A1,Gene
587,TRPC7,Gene
588,TRPV2,Gene
589,amineptine,Chemical Compound
590,LPA,Gene
591,aminocaproic-acid,Chemical Compound
592,PLAT,Gene
593,PLG,Gene
594,CYP11A1,Gene
595,aminoglutethimide,Chemical Compound
596,CYP19A1,Gene
597,aminoguanidine,Chemical Compound
598,NOS2,Gene
599,TIMP3,Gene
600,aminomethyltransferase,Chemical Compound
601,aminopentamide,Chemical Compound
602,aminophylline,Chemical Compound
603,PDE3A,Gene
604,PDE3B,Gene
605,DHFR,Gene
606,aminopterin,Chemical Compound
607,SLC46A1,Gene
608,aminopurvalanol-a,Chemical Compound
609,aminosalicylate,Chemical Compound
610,PLA2G2E,Gene
611,aminothiadiazole,Chemical Compound
612,IMPDH1,Gene
613,aminothiazole,Chemical Compound
614,amiodarone,Chemical Compound
615,CACNA2D2,Gene
616,KCNA7,Gene
617,KCNH2,Gene
618,amisulpride,Chemical Compound
619,amitifadine,Chemical Compound
620,SLC6A3,Gene
621,amitraz,Chemical Compound
622,amitriptyline,Chemical Compound
623,HRH4,Gene
624,HTR6,Gene
625,HTR7,Gene
626,KCNA1,Gene
627,KCND2,Gene
628,KCND3,Gene
629,KCNQ2,Gene
630,KCNQ3,Gene
631,NTRK1,Gene
632,NTRK2,Gene
633,SIGMAR1,Gene
634,FGF1,Gene
635,amlexanox,Chemical Compound
636,IL3,Gene
637,S100A12,Gene
638,S100A13,Gene
639,CACNA1C,Gene
640,amlodipine,Chemical Compound
641,CACNA1D,Gene
642,CACNA1F,Gene
643,CACNA1S,Gene
644,CACNA2D1,Gene
645,ammonium-glycyrrhizinate,Chemical Compound
646,SLCO1B1,Gene
647,SLCO1B3,Gene
648,HCAR1,Gene
649,ammonium-lactate,Chemical Compound
650,ammonium-perfluorocaprylate,Chemical Compound
651,GRM7,Gene
652,AMN-082,Chemical Compound
653,HNMT,Gene
654,amodiaquine,Chemical Compound
655,amonafide,Chemical Compound
656,TOP2B,Gene
657,amoxapine,Chemical Compound
658,CYP2C19,Gene
659,amoxicillin,Chemical Compound
660,SLC15A1,Gene
661,SLC15A2,Gene
662,AMPA-(RS),Chemical Compound
663,GRIA2,Gene
664,AMPA-(S),Chemical Compound
665,GRIA1,Gene
666,ampalex,Chemical Compound
667,GRIA3,Gene
668,GRIA4,Gene
669,amperozide,Chemical Compound
670,ampiroxicam,Chemical Compound
671,amrinone,Chemical Compound
672,TNF,Gene
673,amrubicin,Chemical Compound
674,amsacrine,Chemical Compound
675,amthamine,Chemical Compound
676,amtolmetin-guacil,Chemical Compound
677,amuvatinib,Chemical Compound
678,CASP3,Gene
679,amygdalin,Chemical Compound
680,ALOX5AP,Gene
681,AM679,Chemical Compound
682,ANA-12,Chemical Compound
683,CETP,Gene
684,anacetrapib,Chemical Compound
685,anagliptin,Chemical Compound
686,anagrelide,Chemical Compound
687,GHSR,Gene
688,anamorelin,Chemical Compound
689,anandamide,Chemical Compound
690,GLRA1,Gene
691,KCNA2,Gene
692,KCNK3,Gene
693,KCNK9,Gene
694,TRPM8,Gene
695,anastrozole,Chemical Compound
696,AR,Gene
697,andarine,Chemical Compound
698,IL1B,Gene
699,andrographolide,Chemical Compound
700,IL6,Gene
701,NFKB1,Gene
702,NFKB2,Gene
703,SLC5A1,Gene
704,anguidine,Chemical Compound
705,aniracetam,Chemical Compound
706,GGCX,Gene
707,anisindione,Chemical Compound
708,anisodamine,Chemical Compound
709,NHP2L1,Gene
710,anisomycin,Chemical Compound
711,RPL10L,Gene
712,RPL11,Gene
713,RPL13A,Gene
714,RPL15,Gene
715,RPL19,Gene
716,RPL23,Gene
717,RPL23A,Gene
718,RPL26L1,Gene
719,RPL3,Gene
720,RPL37,Gene
721,RPL8,Gene
722,RSL24D1,Gene
723,anlotinib,Chemical Compound
724,anpirtoline,Chemical Compound
725,ANR-94,Chemical Compound
726,MAPK8,Gene
727,antagonist-g,Chemical Compound
728,CRHR1,Gene
729,antalarmin,Chemical Compound
730,antazoline,Chemical Compound
731,CDC25B,Gene
732,anthraquinone,Chemical Compound
733,CYCS,Gene
734,antimycin-A,Chemical Compound
735,AP-18,Chemical Compound
736,BRD3,Gene
737,apabetalone,Chemical Compound
738,apafant,Chemical Compound
739,CSK,Gene
740,apatinib,Chemical Compound
741,RET,Gene
742,APC-100,Chemical Compound
743,APcK-110,Chemical Compound
744,GPR119,Gene
745,APD597,Chemical Compound
746,APD668,Chemical Compound
747,API-001,Chemical Compound
748,API-1,Chemical Compound
749,AKT2,Gene
750,AKT3,Gene
751,apigenin,Chemical Compound
752,CFTR,Gene
753,CYP1B1,Gene
754,HSD17B1,Gene
755,F10,Gene
756,apixaban,Chemical Compound
757,NOX4,Gene
758,apocynin,Chemical Compound
759,BCHE,Gene
760,apoptosis-activator-II,Chemical Compound
761,TP53,Gene
762,APR-246,Chemical Compound
763,apraclonidine,Chemical Compound
764,ADAM17,Gene
765,apratastat,Chemical Compound
766,MMP1,Gene
767,MMP13,Gene
768,apremilast,Chemical Compound
769,aprepitant,Chemical Compound
770,CALM1,Gene
771,aprindine,Chemical Compound
772,aptiganel,Chemical Compound
773,KLF4,Gene
774,APTO-253,Chemical Compound
775,ERN1,Gene
776,APY-29,Chemical Compound
777,IL12A,Gene
778,APY0201,Chemical Compound
779,IL12B,Gene
780,PIKFYVE,Gene
781,MTOR,Gene
782,AP1903,Chemical Compound
783,AP26113,Chemical Compound
784,AQ-RA741,Chemical Compound
785,AR-A014418,Chemical Compound
786,SLC16A1,Gene
787,AR-C155858,Chemical Compound
788,SLC16A7,Gene
789,PDPK1,Gene
790,AR-12,Chemical Compound
791,AR-42,Chemical Compound
792,CLCN2,Gene
793,arachidonic-acid,Chemical Compound
794,KCNJ4,Gene
795,KCNK10,Gene
796,KCNK18,Gene
797,KCNK2,Gene
798,TRPC6,Gene
799,TRPM2,Gene
800,arbidol,Chemical Compound
801,TYR,Gene
802,arbutin,Chemical Compound
803,ARC-239,Chemical Compound
804,arctigenin,Chemical Compound
805,MAP2K1,Gene
806,CCND1,Gene
807,arcyriaflavin-a,Chemical Compound
808,SERPIND1,Gene
809,ardeparin,Chemical Compound
810,arecaidine-but-2-ynyl-ester,Chemical Compound
811,arecaidine-propargyl-ester,Chemical Compound
812,arecoline,Chemical Compound
813,F2,Gene
814,argatroban,Chemical Compound
815,FNTA,Gene
816,arglabin,Chemical Compound
817,aripiprazole,Chemical Compound
818,arofylline,Chemical Compound
819,arotinolol,Chemical Compound
820,ARQ-092,Chemical Compound
821,KIF11,Gene
822,ARQ-621,Chemical Compound
823,ARRY-334543,Chemical Compound
824,LYZ,Gene
825,arsanilic-acid,Chemical Compound
826,arsenic-trioxide,Chemical Compound
827,JUN,Gene
828,MAPK1,Gene
829,MAPK3,Gene
830,TXNRD1,Gene
831,artemether,Chemical Compound
832,CYP2B6,Gene
833,artemisinin,Chemical Compound
834,arundic-acid,Chemical Compound
835,S100B,Gene
836,BRD4,Gene
837,ARV-825,Chemical Compound
838,AS-1269574,Chemical Compound
839,ROCK1,Gene
840,AS-1892802,Chemical Compound
841,INPP5D,Gene
842,AS-1949490,Chemical Compound
843,AS-2034178,Chemical Compound
844,IRAK4,Gene
845,AS-2444697,Chemical Compound
846,AS-252424,Chemical Compound
847,AS-604850,Chemical Compound
848,AS-703026,Chemical Compound
849,MAP2K2,Gene
850,KCNA3,Gene
851,AS-77,Chemical Compound
852,KCNA5,Gene
853,KCNN4,Gene
854,asaraldehyde,Chemical Compound
855,ASC-J9,Chemical Compound
856,FKBP1A,Gene
857,ascomycin,Chemical Compound
858,SLC23A1,Gene
859,ascorbic-acid,Chemical Compound
860,SLC23A2,Gene
861,asenapine,Chemical Compound
862,asiatic-acid,Chemical Compound
863,asimadoline,Chemical Compound
864,ASP-2535,Chemical Compound
865,TAS1R2,Gene
866,aspartame,Chemical Compound
867,AKR1C1,Gene
868,aspirin,Chemical Compound
869,HSPA5,Gene
870,NFKBIA,Gene
871,PRKAA2,Gene
872,PRKAG1,Gene
873,PRKAG2,Gene
874,PRKAG3,Gene
875,RPS6KA3,Gene
876,ASP3026,Chemical Compound
877,AST-1306,Chemical Compound
878,astemizole,Chemical Compound
879,KCNH1,Gene
880,asymmetrical-dimethylarginine,Chemical Compound
881,NOS3,Gene
882,AT-1015,Chemical Compound
883,AT-7519,Chemical Compound
884,AT-9283,Chemical Compound
885,RPS6KA6,Gene
886,STK17A,Gene
887,DMD,Gene
888,ataluren,Chemical Compound
889,ATB-346,Chemical Compound
890,atenolol-(+/-),Chemical Compound
891,LTF,Gene
892,atiprimod,Chemical Compound
893,atizoram,Chemical Compound
894,ITGA5,Gene
895,ATN-161,Chemical Compound
896,ITGAV,Gene
897,ITGB1,Gene
898,ITGB3,Gene
899,atomoxetine,Chemical Compound
900,AHR,Gene
901,atorvastatin,Chemical Compound
902,atosiban,Chemical Compound
903,AVPR1B,Gene
904,AVPR2,Gene
905,OXTR,Gene
906,GRIK1,Gene
907,ATPA,Chemical Compound
908,atrasentan,Chemical Compound
909,atropine,Chemical Compound
910,atropine-oxide,Chemical Compound
911,AT13148,Chemical Compound
912,ROCK2,Gene
913,SGK3,Gene
914,AT13387,Chemical Compound
915,AT7867,Chemical Compound
916,auranofin,Chemical Compound
917,PRDX5,Gene
918,aurora-a-inhibitor-i,Chemical Compound
919,PRKCI,Gene
920,aurothioglucose,Chemical Compound
921,ENPP2,Gene
922,autotaxin-modulator-1,Chemical Compound
923,AV-412,Chemical Compound
924,AV-608,Chemical Compound
925,PSEN1,Gene
926,avagacestat,Chemical Compound
927,avanafil,Chemical Compound
928,avasimibe,Chemical Compound
929,MPL,Gene
930,avatrombopag,Chemical Compound
931,MRGPRX1,Gene
932,AVE-0991,Chemical Compound
933,AVL-292,Chemical Compound
934,YES1,Gene
935,AVN-944,Chemical Compound
936,IMPDH2,Gene
937,CSF1,Gene
938,axitinib,Chemical Compound
939,FLT1,Gene
940,FLT4,Gene
941,PLK4,Gene
942,AZ-10417808,Chemical Compound
943,AZ-10606120,Chemical Compound
944,DHH,Gene
945,AZ-12080282,Chemical Compound
946,BRAF,Gene
947,AZ-628,Chemical Compound
948,RAF1,Gene
949,DNMT1,Gene
950,azacitidine,Chemical Compound
951,DNMT3A,Gene
952,azacyclonol,Chemical Compound
953,azaguanine-8,Chemical Compound
954,azaperone,Chemical Compound
955,azapropazone,Chemical Compound
956,azasetron,Chemical Compound
957,HTR3B,Gene
958,azatadine,Chemical Compound
959,HPRT1,Gene
960,azathioprine,Chemical Compound
961,PPAT,Gene
962,AZD1080,Chemical Compound
963,AZD1208,Chemical Compound
964,PIM2,Gene
965,PIM3,Gene
966,P2RY12,Gene
967,AZD1283,Chemical Compound
968,AZD1446,Chemical Compound
969,JAK1,Gene
970,AZD1480,Chemical Compound
971,PTGDR2,Gene
972,AZD1981,Chemical Compound
973,AZD2014,Chemical Compound
974,AZD2858,Chemical Compound
975,AZD3264,Chemical Compound
976,AZD3463,Chemical Compound
977,AZD3514,Chemical Compound
978,AZD3759,Chemical Compound
979,BACE1,Gene
980,AZD3839,Chemical Compound
981,AZD3965,Chemical Compound
982,AZD3988,Chemical Compound
983,AGXT,Gene
984,AZD4282,Chemical Compound
985,AGXT2,Gene
986,ALAS1,Gene
987,ALAS2,Gene
988,BAAT,Gene
989,GARS,Gene
990,GATM,Gene
991,GCAT,Gene
992,GCSH,Gene
993,GLDC,Gene
994,GLRA2,Gene
995,GLRA3,Gene
996,GLRB,Gene
997,GLYAT,Gene
998,GLYATL1,Gene
999,GLYATL2,Gene
1000,GNMT,Gene
1001,GPRC6A,Gene
1002,PIPOX,Gene
1003,SHMT1,Gene
1004,SHMT2,Gene
1005,SLC32A1,Gene
1006,SLC36A1,Gene
1007,SLC6A5,Gene
1008,FGFR1,Gene
1009,AZD4547,Chemical Compound
1010,FGFR4,Gene
1011,CXCR2,Gene
1012,AZD5069,Chemical Compound
1013,AZD5363,Chemical Compound
1014,AZD5438,Chemical Compound
